SectorIndex,PositionInsideSectorDeg,CenteredErrorDeg,SectorMeanTemplateDeg
22,6,-1.0600454444444445,-0.7039157222222222
22,7,-1.1771754444444444,-0.9209021111111111
22,8,-0.9440154444444444,-0.7681193333333334
22,9,-0.6376854444444444,-0.5551168333333334
23,0,-0.17076544444444441,-0.1069235
23,1,0.19398455555555558,0.35630150000000005
23,2,0.4420245555555556,0.6094959444444444
23,3,0.7084445555555556,0.8394306666666667
23,4,0.7955445555555556,0.9366220555555557
23,5,0.16383455555555557,0.3131273333333333
23,6,-0.7447954444444445,-0.7039157222222222
23,7,-0.9877854444444445,-0.9209021111111111
23,8,-0.8350054444444444,-0.7681193333333334
23,9,-0.6166854444444445,-0.5551168333333334
24,0,-0.2099454444444444,-0.1069235
24,1,0.3034145555555556,0.35630150000000005
24,2,0.5802145555555556,0.6094959444444444
24,3,0.8289945555555556,0.8394306666666667
24,4,0.8843545555555556,0.9366220555555557
24,5,0.3861245555555556,0.3131273333333333
24,6,-0.8453254444444445,-0.7039157222222222
24,7,-0.8394054444444445,-0.9209021111111111
24,8,-0.7289954444444444,-0.7681193333333334
24,9,-0.47606544444444443,-0.5551168333333334
25,0,0.04292455555555558,-0.1069235
25,1,0.4836545555555556,0.35630150000000005
25,2,0.7074745555555555,0.6094959444444444
25,3,0.9712645555555556,0.8394306666666667
25,4,1.1446645555555555,0.9366220555555557
25,5,0.7414645555555556,0.3131273333333333
25,6,-0.39494544444444446,-0.7039157222222222
25,7,-0.7709254444444444,-0.9209021111111111
25,8,-0.6432954444444445,-0.7681193333333334
25,9,-0.5208654444444445,-0.5551168333333334
26,0,-0.15404544444444446,-0.1069235
26,1,0.34290455555555555,0.35630150000000005
26,2,0.5949245555555556,0.6094959444444444
26,3,0.7689345555555556,0.8394306666666667
26,4,0.7260245555555556,0.9366220555555557
26,5,-0.1620354444444444,0.3131273333333333
26,6,-1.1224854444444445,-0.7039157222222222
26,7,-1.1925554444444444,-0.9209021111111111
26,8,-0.9687354444444445,-0.7681193333333334
26,9,-0.7059854444444444,-0.5551168333333334
27,0,-0.23564544444444446,-0.1069235
27,1,0.16834455555555555,0.35630150000000005
27,2,0.43287455555555554,0.6094959444444444
27,3,0.6721945555555555,0.8394306666666667
27,4,0.8143445555555555,0.9366220555555557
27,5,0.21095455555555556,0.3131273333333333
27,6,-0.7538954444444443,-0.7039157222222222
27,7,-0.9633654444444444,-0.9209021111111111
27,8,-0.7866654444444445,-0.7681193333333334
27,9,-0.6289554444444445,-0.5551168333333334
28,0,-0.23521544444444442,-0.1069235
28,1,0.26453455555555555,0.35630150000000005
28,2,0.5568945555555556,0.6094959444444444
28,3,0.7935945555555556,0.8394306666666667
28,4,0.8919845555555556,0.9366220555555557
28,5,0.27375455555555556,0.3131273333333333
28,6,-0.6661854444444444,-0.7039157222222222
28,7,-0.8301854444444445,-0.9209021111111111
28,8,-0.6869354444444444,-0.7681193333333334
28,9,-0.4337054444444445,-0.5551168333333334
29,0,0.05103455555555558,-0.1069235
29,1,0.47327455555555553,0.35630150000000005
29,2,0.6888545555555556,0.6094959444444444
29,3,0.9638745555555556,0.8394306666666667
29,4,1.1590745555555557,0.9366220555555557
29,5,0.7648445555555556,0.3131273333333333
29,6,-0.42729544444444445,-0.7039157222222222
29,7,-0.7343054444444443,-0.9209021111111111
29,8,-0.6517854444444444,-0.7681193333333334
29,9,-0.5308754444444445,-0.5551168333333334
30,0,-0.13389544444444446,-0.1069235
30,1,0.3474845555555556,0.35630150000000005
30,2,0.5155745555555555,0.6094959444444444
30,3,0.8040245555555556,0.8394306666666667
30,4,0.9005845555555556,0.9366220555555557
30,5,-0.055465444444444456,0.3131273333333333
30,6,-1.0634654444444445,-0.7039157222222222
30,7,-1.1237654444444445,-0.9209021111111111
30,8,-0.8895754444444444,-0.7681193333333334
30,9,-0.5999054444444445,-0.5551168333333334
31,0,-0.10728544444444443,-0.1069235
31,1,0.29530455555555557,0.35630150000000005
31,2,0.5333345555555555,0.6094959444444444
