SequentialRun,Leg,SourceFile,TestID,SweepID,RunOrder,RunRole,EligibleForStatistics,BuildID,ApproachProtocol,PreconditionProtocol,A36_Deg,A36_RecomputeDelta_Deg,AnalysisStartRaw,AnalysisStartRawCentered,ApproachReturnErrorDeg,ApproachReturnErrorRaw,ClosureErrorDeg,FirmwareNL_Deg,FirmwareShadowA36_Deg,FirmwareShadowRMS_AC_Deg,MeanDC_Deg,NL_MinusFirmwareRounded_Deg,NL_RobustP2P_Deg,RMS_AC_Deg,RMS_RecomputeDelta_Deg,RawP2P_Deg,ShadowP2P_Deg,SystemINL_Deg
30,P04,B0-B p04 jig 1 test 23 lần 1.txt,31,30,7,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8518370874766537,3.7087476653652196e-05,61181.0,21912.01818181818,-0.10986328125,-20.0,0.02789,3.14,0.8518,0.73102,-0.2946316388888889,-0.001084000000000085,3.138916,0.7309301211275129,-8.987887248712578e-05,3.47989,3.49091,1.739945
31,P04,B0-B p04 jig 1 test 23 lần 1.txt,32,31,8,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8527887353030255,0.0002487353030254935,61177.0,21908.01818181818,-0.098876953125,-18.0,0.05605,3.13,0.85254,0.73002,-0.30499458333333335,0.0023879999999998347,3.1323879999999997,0.7301787222190832,0.00015872221908319606,3.50793,3.50893,1.753965
32,P04,B0-B p04 jig 1 test 23 lần 1.txt,33,32,9,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8519975845078104,0.00010758450781034323,61184.0,21915.01818181818,-0.1153564453125,-21.0,0.05931,3.09,0.85189,0.72821,-0.31617883333333335,0.0043280000000001095,3.094328,0.7281358798399552,-7.412016004482158e-05,3.43332,3.44121,1.71666
33,P04,B0-B p04 jig 1 test 23 lần 1.txt,34,33,10,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8543740450489387,0.00010404504893868349,61186.0,21917.01818181818,-0.0604248046875,-11.0,0.04395,3.1,0.85427,0.7297,-0.27141575,-0.0042399999999997995,3.0957600000000003,0.7297483127626901,4.8312762690128075e-05,3.45056,3.45194,1.72528
34,P05,B0-B p05 jig 1 test 23 lần 1.txt,35,34,0,PRECONDITION,0,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.875233073374121,0.000373073374121069,61292.0,22023.01818181818,0.054931640625,10.0,0.80338,,0.87486,0.80782,-0.6695261111111112,,3.788872,0.8078894954801051,6.949548010515283e-05,4.03744,4.0367,2.01872
35,P05,B0-B p05 jig 1 test 23 lần 1.txt,36,35,1,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.859273014709565,5.301470956498022e-05,61440.0,22171.01818181818,-0.010986328125,-2.0,0.01699,3.12,0.85922,0.72813,0.033314916666666666,0.004273999999999667,3.1242739999999998,0.7282459089056188,0.00011590890561874456,3.48694,3.48756,1.74347
36,P05,B0-B p05 jig 1 test 23 lần 1.txt,37,36,2,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8563714492819795,0.0001614492819794755,61453.0,22184.01818181818,0.010986328125,2.0,-0.03562,3.13,0.85621,0.73131,0.0910308888888889,-0.0020319999999998117,3.127968,0.7313344837436173,2.4483743617298437e-05,3.5061,3.51417,1.75305
37,P05,B0-B p05 jig 1 test 23 lần 1.txt,38,37,3,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8543646217160173,-0.0003853782839826625,61450.0,22181.01818181818,0.0164794921875,3.0,0.00635,3.13,0.85475,0.72831,0.09359347222222222,-0.004926000000000208,3.1250739999999997,0.7277896630936711,-0.0005203369063289109,3.48462,3.49108,1.74231
38,P05,B0-B p05 jig 1 test 23 lần 1.txt,39,38,4,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8547806924980864,-0.0002893075019135827,61452.0,22183.01818181818,-0.0054931640625,-1.0,-0.04626,3.13,0.85507,0.731,0.1157383888888889,0.0018560000000000798,3.131856,0.7307246576243216,-0.00027534237567838904,3.52478,3.52867,1.76239
39,P05,B0-B p05 jig 1 test 23 lần 1.txt,40,39,5,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.851957453239846,-0.00037254676015407995,61447.0,22178.01818181818,-0.0274658203125,-5.0,-0.08283,3.11,0.85233,0.72574,0.06639055555555556,0.0008200000000000429,3.11082,0.7256556875212332,-8.431247876683479e-05,3.48663,3.48687,1.743315
