"Run","Source","File","RunInFile","ThermalRoleProxy","Valid","Reasons","Accepted","FirstRaw","LastRaw","MinRelRaw","MaxRelRaw","P2PRaw","DriftRaw","MeanRelRaw","MeanRelRawQ16","PopulationSdRaw","RmsRelRaw","MedianRelRaw","MadRaw","RobustSigmaRaw","SlopeRawPerSecond","DetrendedSdRaw","MaxAbsStepRaw","DeltaHistogram","RawCRC32","IntervalMinCycles","IntervalMaxCycles","MaxAbsScheduleErrorCycles","SpiLatencyMinCycles","SpiLatencyMaxCycles","SpiLatencyMeanCycles","PwmPhaseBinMask","PwmCoveredBins","PwmMinimumBinCount","PwmBinMeanRangeRaw","PwmFirstHarmonicP2PRaw","Autocorr1ms","Allan1msRaw","Autocorr2ms","Allan2msRaw","Autocorr4ms","Allan4msRaw","Autocorr8ms","Allan8msRaw","Autocorr16ms","Allan16msRaw","Autocorr32ms","Allan32msRaw","Autocorr64ms","Allan64msRaw","Autocorr128ms","Allan128msRaw"
"11","A5 test 5#1","C:\learn\rd\jig\A5 test 5.txt","1","FIRST_IN_FILE_COLD_CANDIDATE","True","NONE","2048","7936","7934","-6","5","11","-2","-0.79052734375","-51808","1.83912771104499","2.00183021726369","-1","1","1.4826","-0.143370392455552","1.83717343268165","8","-7:5;-6:25;-5:46;-4:98;-3:167;-2:237;-1:302;0:302;1:295;2:222;3:174;4:98;5:42;6:24;7:5;8:5","0x1DBED4A4","167928","168070","72","1338","1338","1338","0xFFFFFFFF","32","59","1.03889969435954","0.0372567041647055","0.0317724878438171","1.8099761541396","0.0813654458085744","1.24312289144211","-0.00335618596038388","0.928654374132167","0.0400336996846535","0.644342241744105","0.0313351117281764","0.460189242129949","0.0860562995730178","0.303288351231041","0.0252527243682937","0.27747235712905","0.0244844538311209","0.287757155303266"
"12","A5 test 5#2","C:\learn\rd\jig\A5 test 5.txt","2","FOLLOWUP_WARM_CANDIDATE","True","NONE","2048","7944","7944","-8","5","13","0","-1.82373046875","-119520","1.8710070372938","2.61278781309352","-2","1","1.4826","0.157713229185517","1.86868227110664","8","-8:2;-7:12;-6:12;-5:56;-4:82;-3:161;-2:225;-1:326;0:323;1:277;2:241;3:160;4:97;5:40;6:22;7:8;8:3","0x13877844","167928","168074","72","1338","1338","1338","0xFFFFFFFF","32","61","0.806864754098361","0.0872145554249071","0.08285818417697","1.79180133590672","0.0468262717835369","1.30020216596175","0.0363483924624833","0.928769778956439","0.0494669829442494","0.711665304001002","0.0060939659511568","0.546056229806565","0.00194653688282728","0.37405520938679","0.0333474111111709","0.342766345710871","-0.00528807375646017","0.332767637017786"
"13","A5 test 6#1","C:\learn\rd\jig\A5 test 6.txt","1","FIRST_IN_FILE_COLD_CANDIDATE","True","NONE","2048","40748","40751","-5","8","13","3","1.341796875","87936","1.94237569325304","2.360771523782","1","1","1.4826","0.822220193676995","1.88056591753371","10","-10:1;-8:3;-7:13;-6:21;-5:54;-4:93;-3:147;-2:271;-1:271;0:303;1:292;2:220;3:161;4:104;5:55;6:27;7:7;8:3;9:1","0x3AACD099","167928","168074","74","1338","1338","1338","0xFFFFFFFF","32","60","1.01759884281581","0.115704623889923","0.0647060749716829","1.87864610480609","0.104331337869228","1.29438320170676","0.102277889944799","0.915954654956404","0.0967375087270468","0.673142746493573","0.105988932701767","0.47491759292211","0.0576844364337331","0.372643598806873","0.0642449354059511","0.285515456250741","0.0383809956896857","0.205604543610589"
"14","A5 test 6#2","C:\learn\rd\jig\A5 test 6.txt","2","FOLLOWUP_WARM_CANDIDATE","True","NONE","2048","40755","40758","-5","9","14","3","1.3408203125","87872","1.81869998614049","2.25952843531565","1","1","1.4826","0.325829799671125","1.80846959361363","9","-9:2;-8:2;-7:8;-6:17;-5:51;-4:95;-3:140;-2:234;-1:321;0:329;1:306;2:205;3:158;4:95;5:49;6:27;7:2;8:6","0xC14B89FC","167928","168072","70","1338","1338","1338","0xFFFFFFFF","32","59","0.957881462799495","0.159798090312871","0.0140730103266801","1.80599068239428","0.0098251683039819","1.2897707383319","-0.0447752406777891","0.943984798788079","-0.00231905701259939","0.629853876939814","-0.0115484743903645","0.426704082774376","0.0120679700292041","0.257041786039062","-0.00463557994408281","0.209792423691512","0.000996711542082199","0.172137668542765"
"15","A5 test 7#1","C:\learn\rd\jig\A5 test 7.txt","1","FIRST_IN_FILE_COLD_CANDIDATE","True","NONE","2048","18944","18945","-6","9","15","1","1.34765625","88320","2.15992313389526","2.54586828262972","1","2","2.9652","1.36530059344783","2.00343128191931","11","-11:2;-8:7;-7:9;-6:22;-5:64;-4:105;-3:193;-2:198;-1:270;0:273;1:300;2:236;3:161;4:106;5:56;6:22;7:18;8:4;10:1","0x8430F069","167928","168072","70","1338","1338","1338","0xFFFFFFFF","32","59","0.918852459016394","0.141375246866538","0.171961442532515","1.96581681741923","0.202997336483378","1.3406608960292","0.164251198872501","0.982678560545715","0.172892130298159","0.722838850258609","0.216508201945752","0.512738805808719","0.148401956463435","0.389180420824032","0.144242366137573","0.314670688464231","0.107915594142793","0.344717304049253"
"16","A5 test 7#2","C:\learn\rd\jig\A5 test 7.txt","2","FOLLOWUP_WARM_CANDIDATE","True","NONE","2048","29835","29835","-7","7","14","0","-0.572265625","-37504","1.85290427220171","1.93926331051253","0","1","1.4826","0.507085705002714","1.82849083890003","9","-9:1;-8:1;-7:10;-6:23;-5:48;-4:97;-3:157;-2:224;-1:301;0:339;1:281;2:219;3:168;4:103;5:35;6:27;7:6;8:4;9:3","0x0DFCAD3C","167928","168072","72","1338","1338","1338","0xFFFFFFFF","32","59","0.751420454545455","0.128741713547877","0.0199077135433044","1.83477242152493","0.0290849549902806","1.29683647430036","0.0531085604577242","0.910320743448684","0.0589358219922178","0.644124519755551","0.0153913299424338","0.437997716040074","0.03744677471953","0.300713657085831","0.0274691960729194","0.244609035457776","0.0380051905151849","0.188230590020646"
"17","A5 test 8#1","C:\learn\rd\jig\A5 test 8.txt","1","FIRST_IN_FILE_COLD_CANDIDATE","True","NONE","2048","29837","29841","-4","8","12","4","2.1796875","142848","2.1153128231644","3.0373649661343","2","1","1.4826","0.699780116922883","2.07446102566599","10","-10:2;-9:1;-8:9;-7:12;-6:38;-5:62;-4:116;-3:166;-2:242;-1:257;0:268;1:234;2:216;3:172;4:117;5:74;6:32;7:17;8:10;9:1;10:1","0xA854C61F","167928","168072","72","1338","1338","1338","0xFFFFFFFF","32","60","1.12213114754098","0.127081872584156","0.0113317469304572","2.10333905336836","0.0695024743686145","1.42201516847195","0.0176614600383981","1.03239421956721","0.0691650447238477","0.704506979986696","0.0222723013940609","0.51233166213671","0.01558493097898","0.382055401090626","0.0459485104554569","0.263850211930856","0.0372531066279276","0.212456934423307"
"18","A5 test 8#2","C:\learn\rd\jig\A5 test 8.txt","2","FOLLOWUP_WARM_CANDIDATE","True","NONE","2048","29845","29841","-8","5","13","-4","-1.3173828125","-86336","1.9432501834117","2.34770499637412","-1","1","1.4826","1.10955609385516","1.82918440654615","8","-8:4;-7:7;-6:17;-5:43;-4:106;-3:161;-2:234;-1:290;0:334;1:288;2:216;3:173;4:95;5:49;6:17;7:11;8:2","0xF2B10731","167928","168070","70","1338","1338","1338","0xFFFFFFFF","32","59","0.940228174603175","0.088291618846647","0.133730950118879","1.80849107294408","0.139795222206464","1.27894363500347","0.146505365031013","0.908561407641316","0.109443601107609","0.647495434864364","0.170245590761695","0.41824875745902","0.139923329021089","0.347622097793977","0.085210509185775","0.276792496260832","0.0879573946467558","0.212496506183652"
"19","A5 test 9#1","C:\learn\rd\jig\A5 test 9.txt","1","FIRST_IN_FILE_COLD_CANDIDATE","True","NONE","2048","40753","40759","-2","11","13","6","4.00341796875","262368","1.96216359505002","4.45841243115192","4","1","1.4826","0.938127273843234","1.88214633314345","9","-9:2;-8:4;-7:7;-6:25;-5:47;-4:87;-3:152;-2:227;-1:322;0:314;1:310;2:217;3:150;4:95;5:53;6:16;7:17;8:2","0x014FB47B","167928","168072","74","1338","1338","1338","0xFFFFFFFF","32","59","1.20378904249872","0.118360840476309","0.12770732810353","1.83170791441548","0.0876315446465627","1.33102897857608","0.108937884076594","0.944981782019552","0.117308226947482","0.655276856175354","0.0923148891175558","0.476653641457011","0.104602870357808","0.327804171748535","0.0580430054628837","0.255914345871923","0.0519319763944869","0.230685309299464"
"20","A5 test 9#2","C:\learn\rd\jig\A5 test 9.txt","2","FOLLOWUP_WARM_CANDIDATE","True","NONE","2048","40767","40765","-7","6","13","-2","-1.380859375","-90496","1.91352730878726","2.35973714108161","-2","1","1.4826","0.154693647848045","1.91134051876209","9","-9:3;-8:1;-7:14;-6:25;-5:64;-4:93;-3:137;-2:232;-1:306;0:319;1:278;2:204;3:180;4:93;5:55;6:26;7:12;8:4;9:1","0x8838B462","167928","168072","70","1338","1338","1338","0xFFFFFFFF","32","59","0.917338709677419","0.115431250605679","0.00730566039681574","1.90684366431461","0.0345092124719231","1.34084325545413","0.00863819359833122","0.972198987924545","0.00268055424966896","0.678886988415482","0.00366867947561267","0.518214682038934","0.0384180965148151","0.331316010365951","0.00327960214113889","0.237815819651106","0.0257015193834954","0.160991270988183"
