"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"344","ALIGN_RAMP","31429","-41","-225.2197265625","-3","-3000","-3000000","68800","139468","139468","0","2902","1336","1452"
"345","ALIGN_RAMP","31432","-38","-208.740234375","3","3000","6000000","69000","139469","139469","0","2902","1336","1362"
"346","ALIGN_RAMP","31436","-34","-186.767578125","4","4000","1000000","69200","139470","139470","0","2902","1336","1272"
"347","ALIGN_RAMP","31431","-39","-214.2333984375","-5","-5000","-9000000","69400","139471","139471","0","2902","1336","1182"
"348","ALIGN_RAMP","31429","-41","-225.2197265625","-2","-2000","3000000","69600","139472","139472","0","2902","1336","1092"
"349","ALIGN_RAMP","31429","-41","-225.2197265625","0","0","2000000","69800","139473","139473","0","2902","1336","1002"
"350","ALIGN_RAMP","31431","-39","-214.2333984375","2","2000","2000000","70000","139474","139474","0","2902","1336","912"
"351","ALIGN_RAMP","31429","-41","-225.2197265625","-2","-2000","-4000000","70200","139475","139475","0","2902","1336","822"
"352","ALIGN_RAMP","31432","-38","-208.740234375","3","3000","5000000","70400","139476","139476","0","2902","1336","732"
"353","ALIGN_RAMP","31428","-42","-230.712890625","-4","-4000","-7000000","70600","139477","139477","0","2902","1336","642"
"354","ALIGN_RAMP","31427","-43","-236.2060546875","-1","-1000","3000000","70800","139478","139478","0","2902","1336","552"
"355","ALIGN_RAMP","31434","-36","-197.75390625","7","7000","8000000","71000","139479","139479","0","2902","1336","462"
"356","ALIGN_RAMP","31429","-41","-225.2197265625","-5","-5000","-12000000","71200","139480","139480","0","2902","1336","372"
"357","ALIGN_RAMP","31427","-43","-236.2060546875","-2","-2000","3000000","71400","139481","139481","0","2902","1336","282"
"358","ALIGN_RAMP","31427","-43","-236.2060546875","0","0","2000000","71600","139482","139482","0","2902","1336","192"
"359","ALIGN_RAMP","31427","-43","-236.2060546875","0","0","0","71800","139483","139483","0","2902","1336","102"
"360","ALIGN_RAMP","31427","-43","-236.2060546875","0","0","0","72000","139484","139484","0","2902","1336","12"
"361","ALIGN_RAMP","31426","-44","-241.69921875","-1","-1000","-1000000","72200","139485","139485","0","2902","1336","2077"
"362","ALIGN_RAMP","31429","-41","-225.2197265625","3","3000","4000000","72400","139486","139486","0","2902","1336","1987"
"363","ALIGN_RAMP","31427","-43","-236.2060546875","-2","-2000","-5000000","72600","139487","139487","0","2902","1336","1897"
"364","ALIGN_RAMP","31424","-46","-252.685546875","-3","-3000","-1000000","72800","139488","139488","0","2902","1336","1807"
"365","ALIGN_RAMP","31427","-43","-236.2060546875","3","3000","6000000","73000","139489","139489","0","2902","1336","1717"
"366","ALIGN_RAMP","31427","-43","-236.2060546875","0","0","-3000000","73200","139490","139490","0","2902","1336","1627"
"367","ALIGN_RAMP","31427","-43","-236.2060546875","0","0","0","73400","139491","139491","0","2902","1336","1537"
"368","ALIGN_RAMP","31422","-48","-263.671875","-5","-5000","-5000000","73600","139492","139492","0","2902","1336","1447"
"369","ALIGN_RAMP","31423","-47","-258.1787109375","1","1000","6000000","73800","139493","139493","0","2902","1336","1357"
"370","ALIGN_RAMP","31423","-47","-258.1787109375","0","0","-1000000","74000","139494","139494","0","2902","1336","1267"
"371","ALIGN_RAMP","31426","-44","-241.69921875","3","3000","3000000","74200","139495","139495","0","2902","1336","1177"
"372","ALIGN_RAMP","31425","-45","-247.1923828125","-1","-1000","-4000000","74400","139496","139496","0","2902","1336","1087"
"373","ALIGN_RAMP","31423","-47","-258.1787109375","-2","-2000","-1000000","74600","139497","139497","0","2902","1336","997"
"374","ALIGN_RAMP","31424","-46","-252.685546875","1","1000","3000000","74800","139498","139498","0","2902","1336","907"
"375","ALIGN_RAMP","31425","-45","-247.1923828125","1","1000","0","75000","139499","139499","0","2902","1336","817"
"376","ALIGN_RAMP","31423","-47","-258.1787109375","-2","-2000","-3000000","75200","139500","139500","0","2902","1336","727"
"377","ALIGN_RAMP","31422","-48","-263.671875","-1","-1000","1000000","75400","139501","139501","0","2902","1336","637"
"378","ALIGN_RAMP","31426","-44","-241.69921875","4","4000","5000000","75600","139502","139502","0","2902","1336","547"
"379","ALIGN_RAMP","31424","-46","-252.685546875","-2","-2000","-6000000","75800","139503","139503","0","2902","1336","457"
"380","ALIGN_RAMP","31424","-46","-252.685546875","0","0","2000000","76000","139504","139504","0","2902","1336","367"
"381","ALIGN_RAMP","31422","-48","-263.671875","-2","-2000","-2000000","76200","139505","139505","0","2902","1336","277"
"382","ALIGN_RAMP","31426","-44","-241.69921875","4","4000","6000000","76400","139506","139506","0","2902","1336","187"
"383","ALIGN_RAMP","31425","-45","-247.1923828125","-1","-1000","-5000000","76600","139507","139507","0","2902","1336","97"
"384","ALIGN_RAMP","31421","-49","-269.1650390625","-4","-4000","-3000000","76800","139508","139508","0","2902","1336","7"
"385","ALIGN_RAMP","31423","-47","-258.1787109375","2","2000","6000000","77000","139509","139509","0","2902","1336","2072"
"386","ALIGN_RAMP","31417","-53","-291.1376953125","-6","-6000","-8000000","77200","139510","139510","0","2902","1336","1982"
"387","ALIGN_RAMP","31421","-49","-269.1650390625","4","4000","10000000","77400","139511","139511","0","2902","1336","1892"
"388","ALIGN_RAMP","31419","-51","-280.1513671875","-2","-2000","-6000000","77600","139512","139512","0","2902","1336","1802"
"389","ALIGN_RAMP","31419","-51","-280.1513671875","0","0","2000000","77800","139513","139513","0","2902","1336","1712"
"390","ALIGN_RAMP","31420","-50","-274.658203125","1","1000","1000000","78000","139514","139514","0","2902","1336","1622"
"391","ALIGN_RAMP","31420","-50","-274.658203125","0","0","-1000000","78200","139515","139515","0","2902","1336","1532"
"392","ALIGN_RAMP","31418","-52","-285.64453125","-2","-2000","-2000000","78400","139516","139516","0","2902","1336","1442"
"393","ALIGN_RAMP","31413","-57","-313.1103515625","-5","-5000","-3000000","78600","139517","139517","0","2902","1336","1352"
"394","ALIGN_RAMP","31420","-50","-274.658203125","7","7000","12000000","78800","139518","139518","0","2902","1336","1262"
"395","ALIGN_RAMP","31421","-49","-269.1650390625","1","1000","-6000000","79000","139519","139519","0","2902","1336","1172"
"396","ALIGN_RAMP","31419","-51","-280.1513671875","-2","-2000","-3000000","79200","139520","139520","0","2902","1336","1082"
"397","ALIGN_RAMP","31419","-51","-280.1513671875","0","0","2000000","79400","139521","139521","0","2902","1336","992"
"398","ALIGN_RAMP","31416","-54","-296.630859375","-3","-3000","-3000000","79600","139522","139522","0","2902","1336","902"
"399","ALIGN_RAMP","31418","-52","-285.64453125","2","2000","5000000","79800","139523","139523","0","2902","1336","812"
"400","ALIGN_RAMP","31416","-54","-296.630859375","-2","-2000","-4000000","80000","139524","139524","0","2903","1336","788"
"401","ALIGN_RAMP","31418","-52","-285.64453125","2","2000","4000000","80200","139525","139525","0","2903","1336","632"
"402","ALIGN_RAMP","31417","-53","-291.1376953125","-1","-1000","-3000000","80400","139526","139526","0","2902","1336","542"
"403","ALIGN_RAMP","31416","-54","-296.630859375","-1","-1000","0","80600","139527","139527","0","2902","1336","452"
"404","ALIGN_RAMP","31415","-55","-302.1240234375","-1","-1000","0","80800","139528","139528","0","2902","1336","362"
"405","ALIGN_RAMP","31416","-54","-296.630859375","1","1000","2000000","81000","139529","139529","0","2902","1336","272"
"406","ALIGN_RAMP","31415","-55","-302.1240234375","-1","-1000","-2000000","81200","139530","139530","0","2902","1336","182"
"407","ALIGN_RAMP","31413","-57","-313.1103515625","-2","-2000","-1000000","81400","139531","139531","0","2902","1336","92"
"408","ALIGN_RAMP","31414","-56","-307.6171875","1","1000","3000000","81600","139532","139532","0","2902","1336","2"
"409","ALIGN_RAMP","31417","-53","-291.1376953125","3","3000","2000000","81800","139533","139533","0","2902","1336","2067"
"410","ALIGN_RAMP","31416","-54","-296.630859375","-1","-1000","-4000000","82000","139534","139534","0","2902","1336","1977"
"411","ALIGN_RAMP","31415","-55","-302.1240234375","-1","-1000","0","82200","139535","139535","0","2902","1336","1887"
"412","ALIGN_RAMP","31415","-55","-302.1240234375","0","0","1000000","82400","139536","139536","0","2902","1336","1797"
"413","ALIGN_RAMP","31411","-59","-324.0966796875","-4","-4000","-4000000","82600","139537","139537","0","2902","1336","1707"
"414","ALIGN_RAMP","31414","-56","-307.6171875","3","3000","7000000","82800","139538","139538","0","2902","1336","1617"
"415","ALIGN_RAMP","31414","-56","-307.6171875","0","0","-3000000","83000","139539","139539","0","2902","1336","1527"
"416","ALIGN_RAMP","31415","-55","-302.1240234375","1","1000","1000000","83200","139540","139540","0","2902","1336","1437"
"417","ALIGN_RAMP","31410","-60","-329.58984375","-5","-5000","-6000000","83400","139541","139541","0","2902","1336","1347"
"418","ALIGN_RAMP","31410","-60","-329.58984375","0","0","5000000","83600","139542","139542","0","2902","1336","1257"
"419","ALIGN_RAMP","31409","-61","-335.0830078125","-1","-1000","-1000000","83800","139543","139543","0","2902","1336","1167"
"420","ALIGN_RAMP","31412","-58","-318.603515625","3","3000","4000000","84000","139544","139544","0","2902","1336","1077"
"421","ALIGN_RAMP","31413","-57","-313.1103515625","1","1000","-2000000","84200","139545","139545","0","2902","1336","987"
"422","ALIGN_RAMP","31412","-58","-318.603515625","-1","-1000","-2000000","84400","139546","139546","0","2902","1336","897"
"423","ALIGN_RAMP","31411","-59","-324.0966796875","-1","-1000","0","84600","139547","139547","0","2902","1336","807"
"424","ALIGN_RAMP","31408","-62","-340.576171875","-3","-3000","-2000000","84800","139548","139548","0","2902","1336","717"
"425","ALIGN_RAMP","31409","-61","-335.0830078125","1","1000","4000000","85000","139549","139549","0","2902","1336","627"
"426","ALIGN_RAMP","31407","-63","-346.0693359375","-2","-2000","-3000000","85200","139550","139550","0","2902","1336","537"
"427","ALIGN_RAMP","31411","-59","-324.0966796875","4","4000","6000000","85400","139551","139551","0","2902","1336","447"
"428","ALIGN_RAMP","31406","-64","-351.5625","-5","-5000","-9000000","85600","139552","139552","0","2902","1336","357"
"429","ALIGN_RAMP","31412","-58","-318.603515625","6","6000","11000000","85800","139553","139553","0","2902","1336","267"
"430","ALIGN_RAMP","31406","-64","-351.5625","-6","-6000","-12000000","86000","139554","139554","0","2902","1336","177"
"431","ALIGN_RAMP","31406","-64","-351.5625","0","0","6000000","86200","139555","139555","0","2902","1336","87"
"432","ALIGN_RAMP","31406","-64","-351.5625","0","0","0","86400","139556","139556","0","2902","1336","2152"
"433","ALIGN_RAMP","31405","-65","-357.0556640625","-1","-1000","-1000000","86600","139557","139557","0","2902","1336","2062"
"434","ALIGN_RAMP","31404","-66","-362.548828125","-1","-1000","0","86800","139558","139558","0","2902","1336","1972"
"435","ALIGN_RAMP","31404","-66","-362.548828125","0","0","1000000","87000","139559","139559","0","2902","1336","1882"
"436","ALIGN_RAMP","31406","-64","-351.5625","2","2000","2000000","87200","139560","139560","0","2902","1336","1792"
"437","ALIGN_RAMP","31404","-66","-362.548828125","-2","-2000","-4000000","87400","139561","139561","0","2902","1336","1702"
"438","ALIGN_RAMP","31404","-66","-362.548828125","0","0","2000000","87600","139562","139562","0","2902","1336","1612"
"439","ALIGN_RAMP","31405","-65","-357.0556640625","1","1000","1000000","87800","139563","139563","0","2902","1336","1522"
"440","ALIGN_RAMP","31409","-61","-335.0830078125","4","4000","3000000","88000","139564","139564","0","2902","1336","1432"
"441","ALIGN_RAMP","31403","-67","-368.0419921875","-6","-6000","-10000000","88200","139565","139565","0","2902","1336","1342"
"442","ALIGN_RAMP","31404","-66","-362.548828125","1","1000","7000000","88400","139566","139566","0","2902","1336","1252"
"443","ALIGN_RAMP","31400","-70","-384.521484375","-4","-4000","-5000000","88600","139567","139567","0","2902","1336","1162"
"444","ALIGN_RAMP","31404","-66","-362.548828125","4","4000","8000000","88800","139568","139568","0","2902","1336","1072"
"445","ALIGN_RAMP","31402","-68","-373.53515625","-2","-2000","-6000000","89000","139569","139569","0","2902","1336","982"
"446","ALIGN_RAMP","31404","-66","-362.548828125","2","2000","4000000","89200","139570","139570","0","2902","1336","892"
"447","ALIGN_RAMP","31395","-75","-411.9873046875","-9","-9000","-11000000","89400","139571","139571","0","2902","1336","802"
"448","ALIGN_RAMP","31401","-69","-379.0283203125","6","6000","15000000","89600","139572","139572","0","2902","1336","712"
"449","ALIGN_RAMP","31402","-68","-373.53515625","1","1000","-5000000","89800","139573","139573","0","2902","1336","622"
"450","ALIGN_RAMP","31396","-74","-406.494140625","-6","-6000","-7000000","90000","139574","139574","0","2902","1336","532"
"451","ALIGN_RAMP","31398","-72","-395.5078125","2","2000","8000000","90200","139575","139575","0","2902","1336","442"
"452","ALIGN_RAMP","31400","-70","-384.521484375","2","2000","0","90400","139576","139576","0","2902","1336","352"
"453","ALIGN_RAMP","31396","-74","-406.494140625","-4","-4000","-6000000","90600","139577","139577","0","2902","1336","262"
"454","ALIGN_RAMP","31400","-70","-384.521484375","4","4000","8000000","90800","139578","139578","0","2902","1336","172"
"455","ALIGN_RAMP","31393","-77","-422.9736328125","-7","-7000","-11000000","91000","139579","139579","0","2902","1336","82"
"456","ALIGN_RAMP","31399","-71","-390.0146484375","6","6000","13000000","91200","139580","139580","0","2902","1336","2147"
"457","ALIGN_RAMP","31397","-73","-401.0009765625","-2","-2000","-8000000","91400","139581","139581","0","2902","1336","2057"
"458","ALIGN_RAMP","31392","-78","-428.466796875","-5","-5000","-3000000","91600","139582","139582","0","2902","1336","1967"
"459","ALIGN_RAMP","31391","-79","-433.9599609375","-1","-1000","4000000","91800","139583","139583","0","2902","1336","1877"
"460","ALIGN_RAMP","31396","-74","-406.494140625","5","5000","6000000","92000","139584","139584","0","2902","1336","1787"
"461","ALIGN_RAMP","31392","-78","-428.466796875","-4","-4000","-9000000","92200","139585","139585","0","2902","1336","1697"
"462","ALIGN_RAMP","31390","-80","-439.453125","-2","-2000","2000000","92400","139586","139586","0","2902","1336","1607"
"463","ALIGN_RAMP","31390","-80","-439.453125","0","0","2000000","92600","139587","139587","0","2902","1336","1517"
"464","ALIGN_RAMP","31387","-83","-455.9326171875","-3","-3000","-3000000","92800","139588","139588","0","2902","1336","1427"
"465","ALIGN_RAMP","31390","-80","-439.453125","3","3000","6000000","93000","139589","139589","0","2902","1336","1337"
"466","ALIGN_RAMP","31391","-79","-433.9599609375","1","1000","-2000000","93200","139590","139590","0","2902","1336","1247"
"467","ALIGN_RAMP","31391","-79","-433.9599609375","0","0","-1000000","93400","139591","139591","0","2902","1336","1157"
"468","ALIGN_RAMP","31391","-79","-433.9599609375","0","0","0","93600","139592","139592","0","2902","1336","1067"
"469","ALIGN_RAMP","31388","-82","-450.439453125","-3","-3000","-3000000","93800","139593","139593","0","2902","1336","977"
"470","ALIGN_RAMP","31385","-85","-466.9189453125","-3","-3000","0","94000","139594","139594","0","2902","1336","887"
"471","ALIGN_RAMP","31386","-84","-461.42578125","1","1000","4000000","94200","139595","139595","0","2902","1336","797"
"472","ALIGN_RAMP","31386","-84","-461.42578125","0","0","-1000000","94400","139596","139596","0","2902","1336","707"
"473","ALIGN_RAMP","31387","-83","-455.9326171875","1","1000","1000000","94600","139597","139597","0","2902","1336","617"
"474","ALIGN_RAMP","31389","-81","-444.9462890625","2","2000","1000000","94800","139598","139598","0","2902","1336","527"
"475","ALIGN_RAMP","31385","-85","-466.9189453125","-4","-4000","-6000000","95000","139599","139599","0","2902","1336","437"
"476","ALIGN_RAMP","31383","-87","-477.9052734375","-2","-2000","2000000","95200","139600","139600","0","2902","1336","347"
"477","ALIGN_RAMP","31385","-85","-466.9189453125","2","2000","4000000","95400","139601","139601","0","2902","1336","257"
"478","ALIGN_RAMP","31384","-86","-472.412109375","-1","-1000","-3000000","95600","139602","139602","0","2902","1336","167"
"479","ALIGN_RAMP","31386","-84","-461.42578125","2","2000","3000000","95800","139603","139603","0","2902","1336","77"
"480","ALIGN_RAMP","31382","-88","-483.3984375","-4","-4000","-6000000","96000","139604","139604","0","2902","1336","2142"
"481","ALIGN_RAMP","31383","-87","-477.9052734375","1","1000","5000000","96200","139605","139605","0","2902","1336","2052"
"482","ALIGN_RAMP","31384","-86","-472.412109375","1","1000","0","96400","139606","139606","0","2902","1336","1962"
"483","ALIGN_RAMP","31383","-87","-477.9052734375","-1","-1000","-2000000","96600","139607","139607","0","2902","1336","1872"
"484","ALIGN_RAMP","31384","-86","-472.412109375","1","1000","2000000","96800","139608","139608","0","2902","1336","1782"
"485","ALIGN_RAMP","31379","-91","-499.8779296875","-5","-5000","-6000000","97000","139609","139609","0","2902","1336","1692"
"486","ALIGN_RAMP","31379","-91","-499.8779296875","0","0","5000000","97200","139610","139610","0","2902","1336","1602"
"487","ALIGN_RAMP","31380","-90","-494.384765625","1","1000","1000000","97400","139611","139611","0","2902","1336","1512"
