motor,config,n_config,n_baseline,effective_weight,max_order,rmse_deg,r2,aicc,bic,max_abs_residual_deg,top10pct_residual_energy_fraction
P011,path2_new,3,10,2.3076923076923075,18,0.02835262977180497,0.9673911553500752,-2482.6526351294674,-2347.5997052204702,0.11798707076970578,0.5297045511111662
P011,path2_old,3,10,2.3076923076923075,1,0.051147914864674175,0.6446051448854109,-2134.516742087253,-2122.9258457232395,0.10609512183911499,0.32317299671030414
P011,path2_old,3,10,2.3076923076923075,2,0.03472530189412018,0.8361873902114074,-2409.2369299721213,-2389.9759013402945,0.11895997073730977,0.4172733538392139
P011,path2_old,3,10,2.3076923076923075,3,0.03373916377479207,0.8453592675730295,-2425.830928503702,-2398.946382101733,0.11311175878163249,0.419715129044392
P011,path2_old,3,10,2.3076923076923075,4,0.029749338237077302,0.8797708191705257,-2512.24855607194,-2477.7879055031744,0.13347591119673285,0.47657614326236275
P011,path2_old,3,10,2.3076923076923075,5,0.02961655980280434,0.8808416475047999,-2511.224946639182,-2469.2364229828854,0.13512090359933657,0.4787371453882916
P011,path2_old,3,10,2.3076923076923075,6,0.029595192190437863,0.8810135250637532,-2507.451193805842,-2457.9838645183772,0.1366795356038616,0.47926793417903796
P011,path2_old,3,10,2.3076923076923075,12,0.015094930072000868,0.9690459499743402,-2965.353155251298,-2872.0927700339066,0.08708096947866688,0.6209613285375284
P011,path2_old,3,10,2.3076923076923075,18,0.014542232732896787,0.9712712023264776,-2963.3698284455177,-2828.3168985365205,0.08372089795921162,0.6037823811046105
P013,path2_new,3,10,2.3076923076923075,1,0.19254298951374899,0.21309684024554654,-1180.0863804567578,-1168.4954840927444,0.3475220607871037,0.2524838323005836
P013,path2_new,3,10,2.3076923076923075,2,0.053445372754078825,0.939370206536866,-2098.7790645306213,-2079.5180358987946,0.1544365883909155,0.49303223041897787
P013,path2_new,3,10,2.3076923076923075,3,0.0507416722545055,0.9453493389295495,-2132.0074111650983,-2105.122864763129,0.15069597489243727,0.42901783889527956
P013,path2_new,3,10,2.3076923076923075,4,0.03972819080261708,0.9664985623764413,-2303.985572488529,-2269.5249219197635,0.10981956471677534,0.4349257357998383
P013,path2_new,3,10,2.3076923076923075,5,0.035431414930343796,0.9733533351316067,-2382.154005283322,-2340.1654816270257,0.11522411524045678,0.45844845120628325
P013,path2_new,3,10,2.3076923076923075,6,0.03404775366011519,0.9753938993444018,-2406.54165554187,-2357.074326254405,0.10362185567287521,0.42057106067971817
P013,path2_new,3,10,2.3076923076923075,12,0.02582197860562682,0.9858471174725688,-2578.8088557802985,-2485.548470562907,0.07971763283973149,0.46461126347683324
P013,path2_new,3,10,2.3076923076923075,18,0.021408009405995958,0.990272114687638,-2684.939992826405,-2549.887062917408,0.07133962929276223,0.48194458140708435
P013,path2_old,3,10,2.3076923076923075,1,0.08694004081858726,0.05541434001067025,-1752.5589246910854,-1740.968028327072,0.1790521956097747,0.3098233492805363
P013,path2_old,3,10,2.3076923076923075,2,0.03992764074099831,0.8007726459818162,-2308.7247485334096,-2289.463719901583,0.09825276241859947,0.4154824976109268
P013,path2_old,3,10,2.3076923076923075,3,0.037588036383021634,0.8234364932793576,-2348.051829755725,-2321.167283353756,0.10544848295658923,0.4025143017935557
P013,path2_old,3,10,2.3076923076923075,4,0.032596330178507965,0.867218036894566,-2446.4457233591156,-2411.98507279035,0.09370022968009643,0.39304046319608027
P013,path2_old,3,10,2.3076923076923075,5,0.030290477104611264,0.8853394827698844,-2495.0251493564706,-2453.036625700174,0.09179483614390767,0.42705040152429147
P013,path2_old,3,10,2.3076923076923075,6,0.027589758521178304,0.9048743872435124,-2557.9716399790673,-2508.5043106916023,0.07639099544173229,0.3985277125846831
P013,path2_old,3,10,2.3076923076923075,12,0.020036915007599337,0.9498277727566108,-2761.436633004778,-2668.1762477873863,0.07418071948303162,0.4292317123029904
P013,path2_old,3,10,2.3076923076923075,18,0.019117990759394476,0.9543241999265504,-2766.397413879629,-2631.3444839706317,0.06355567495377135,0.437950916483124
P03,path2_old,3,10,2.3076923076923075,1,0.06034598622355721,0.6491417855943922,-2015.448390480347,-2003.8574941163336,0.2057326557191107,0.4607386393447208
P03,path2_old,3,10,2.3076923076923075,2,0.05380121652144978,0.7211189134403564,-2094.00113258055,-2074.740103948723,0.18646657919114396,0.5084045669783995
P03,path2_old,3,10,2.3076923076923075,3,0.05376747944851047,0.7214685591263232,-2090.304073556419,-2063.41952715445,0.18383005633561222,0.5070229860132556
P03,path2_old,3,10,2.3076923076923075,4,0.04966519600378061,0.7623492562630387,-2143.25034270555,-2108.789692136784,0.16971992759339039,0.5465259299435197
P03,path2_old,3,10,2.3076923076923075,5,0.04935766769148643,0.7652832248310979,-2143.4781283789825,-2101.489604722686,0.16631137058700618,0.5577681737104323
P03,path2_old,3,10,2.3076923076923075,6,0.049323767342326026,0.765605535363818,-2139.6794137747497,-2090.2120844872848,0.1649934270656821,0.558160876092881
P03,path2_old,3,10,2.3076923076923075,12,0.03263237008838516,0.8974036038686092,-2410.272170177816,-2317.0117849604244,0.12429937818971262,0.6141867412369517
P03,path2_old,3,10,2.3076923076923075,18,0.032159670138458475,0.9003544195460015,-2391.9373867064874,-2256.88445679749,0.12235667262357205,0.6077348504017881
P08,path1,3,10,2.3076923076923075,1,0.15345673385174202,0.012369171517854327,-1343.4549476774043,-1331.864051313391,0.3152378872552789,0.2942149387372421
P08,path1,3,10,2.3076923076923075,2,0.06309053196885778,0.833063572420416,-1979.3233979604797,-1960.0623693286527,0.1692755689139133,0.4191528139561416
P08,path1,3,10,2.3076923076923075,3,0.056607197786321416,0.8656102797068724,-2053.2475935736834,-2026.3630471717142,0.14180348683326854,0.3606980078922299
P08,path1,3,10,2.3076923076923075,4,0.042703623276444926,0.9235192413691279,-2251.9852001164045,-2217.524549547639,0.13320093562354482,0.41090357630594465
P08,path1,3,10,2.3076923076923075,5,0.041422254282756234,0.9280401585912161,-2269.6760189601664,-2227.68749530387,0.12092710556127201,0.4199874435878523
P08,path1,3,10,2.3076923076923075,6,0.041203819423758246,0.9287970991900755,-2269.189489052187,-2219.722159764722,0.12329010340299593,0.4257232032846533
P08,path1,3,10,2.3076923076923075,12,0.032652027960286274,0.955286048006026,-2409.838569850031,-2316.5781846326395,0.1150507778013373,0.44245413270548684
