motor,config,n_config,n_baseline,effective_weight,dc_deg,order,cos_coeff_deg,sin_coeff_deg,amplitude_deg,phase_command_deg,max_error_axis_command_deg,sensor_abs_cos_coeff_deg,sensor_abs_sin_coeff_deg,sensor_abs_amplitude_deg,phase_sensor_abs_deg,max_error_axis_sensor_abs_deg,axis_period_deg
P08,path2_new,2,10,1.6666666666666667,0.06341929700639512,2,0.03423331990291999,0.06632498821448679,0.07463862440605044,62.69969931368999,31.349849656844995,-0.04145969167539931,-0.06245425615680511,0.07496292514249296,-123.57783487175831,118.21108256412084,180.0
P08,path2_new,2,10,1.6666666666666667,0.06341929700639512,3,-0.024448340180413804,0.04723858798365854,0.053190276670337835,117.36383299740925,39.121277665803085,0.04989684750871404,0.01116232639431046,0.05113015667725831,12.609907533268567,4.203302511089523,120.0
P08,path2_new,2,10,1.6666666666666667,0.06341929700639512,4,-0.027317541452613135,-0.01872090318460513,0.033116767460949374,-145.57688501656796,53.60577874585801,-0.035134571232771125,-0.006757326960777165,0.03577847905327327,-169.1134057132121,47.721648571696974,90.0
P08,path2_new,2,10,1.6666666666666667,0.06341929700639512,5,0.003909145180276175,0.0077153718987490755,0.00864918375203599,63.13004852906961,12.626009705813923,-0.005612944322221274,0.005502654225791827,0.007860301997568585,135.56847588213896,27.11369517642779,72.0
P08,path2_new,2,10,1.6666666666666667,0.06341929700639512,6,-0.014339253948817968,-0.0029072294017405027,0.014631000874958491,-168.53885323598348,31.910191127336088,0.01596431538441564,-0.003356473156765464,0.01631334661389799,-11.873414355972061,58.02109760733799,60.0
P08,path2_old,3,10,2.3076923076923075,-0.3113202704323664,1,0.12372002131638055,0.12469613718373133,0.17565810628339815,45.22513443577435,45.22513443577435,-0.11624668696394308,0.1301654414026648,0.17451743284166066,131.76704491116067,131.76704491116067,360.0
P08,path2_old,3,10,2.3076923076923075,-0.3113202704323664,2,0.19533669805116277,-0.2899304061382835,0.3495941447007389,-56.030412446751285,151.98479377662437,-0.12548962545030304,0.31873968562989113,0.34255311017577866,111.48984162479903,55.74492081239951,180.0
P08,path2_old,3,10,2.3076923076923075,-0.3113202704323664,3,-0.05629383031577927,0.01891256489429245,0.059385860627783886,161.42962885266164,53.80987628422054,0.03211742923901219,0.049024253685405264,0.058608077176562676,56.76985029490749,18.92328343163583,120.0
P08,path2_old,3,10,2.3076923076923075,-0.3113202704323664,4,0.006476030925399945,0.03275384078027781,0.033387917910623385,78.81583084077639,19.703957710194096,0.015206278414443233,0.02826087468900846,0.032092178819852685,61.71671747071535,15.429179367678838,90.0
P08,path2_old,3,10,2.3076923076923075,-0.3113202704323664,5,-0.003554402534527555,-0.005902973171261889,0.0068904912479513065,-121.05373020267591,47.789253959464816,0.002640622216207776,-0.007994019605164547,0.008418861867050985,-71.72033417665523,57.65593316466895,72.0
P08,path2_old,3,10,2.3076923076923075,-0.3113202704323664,6,-0.011709438129087826,-0.008418872522611656,0.014421801407969857,-144.28455360270067,35.95257439954989,0.017612300368154712,0.0024994333011109024,0.017788768678152087,8.077142199623694,1.346190366603949,60.0
