File,Era,ProductId,JigId,TestID,SweepID,RunRole,H1_Deg,H2_Deg,H36_Deg,RatioH2H36,RatioH1H36
C:\learn\rd\jig\B0-B p03 jig 1 test 21B.txt,legacy-root,P03,JIG1,11,11,OFFICIAL,0.238352642068678,0.181084197891763,0.905623886377164,0.19995519179178,0.263191646834955
C:\learn\rd\jig\B0-B p03 jig 1 test 22.txt,legacy-root,P03,JIG1,1,1,PRECONDITION,0.233747431445331,0.177916412262546,0.918558975731337,0.193690788466677,0.254471882177436
C:\learn\rd\jig\B0-B p03 jig 1 test 22.txt,legacy-root,P03,JIG1,2,2,OFFICIAL,0.235064021820031,0.170182402583627,0.910788825021755,0.186851658593376,0.258088390373495
C:\learn\rd\jig\B0-B p03 jig 1 test 22.txt,legacy-root,P03,JIG1,3,3,OFFICIAL,0.237798172394067,0.177143536157982,0.905381145112426,0.195656312387624,0.262649795257818
C:\learn\rd\jig\B0-B p03 jig 1 test 22.txt,legacy-root,P03,JIG1,4,4,OFFICIAL,0.23275601637176,0.180269399675331,0.903509474393345,0.199521316360707,0.257613254723247
C:\learn\rd\jig\B0-B p03 jig 1 test 22.txt,legacy-root,P03,JIG1,5,5,OFFICIAL,0.23886341503525,0.181822504468272,0.907492479373911,0.200357037221635,0.26321255598729
C:\learn\rd\jig\B0-B p03 jig 1 test 22.txt,legacy-root,P03,JIG1,6,6,OFFICIAL,0.237681945580024,0.17737822715164,0.909639517139371,0.194998374421395,0.261292458277851
C:\learn\rd\jig\B0-B p03 jig 1 test 22.txt,legacy-root,P03,JIG1,7,7,OFFICIAL,0.234590279851555,0.176003371000203,0.909760959701482,0.193461116487077,0.257859251213121
C:\learn\rd\jig\B0-B p03 jig 1 test 22.txt,legacy-root,P03,JIG1,8,8,OFFICIAL,0.237034916297218,0.177888938799888,0.905950416520969,0.196356153224165,0.261642262064937
C:\learn\rd\jig\B0-B p03 jig 1 test 22.txt,legacy-root,P03,JIG1,9,9,OFFICIAL,0.224367218089838,0.181910276619812,0.910613085876274,0.199766815831294,0.246391383530285
C:\learn\rd\jig\B0-B p03 jig 1 test 22.txt,legacy-root,P03,JIG1,10,10,OFFICIAL,0.235777347315387,0.176815586903309,0.90850069541284,0.194623501991885,0.259523573846298
C:\learn\rd\jig\B0-B p03 jig 1 test 22.txt,legacy-root,P03,JIG1,11,11,OFFICIAL,0.231815328922904,0.173876268781532,0.911621055823247,0.190733054782847,0.25428913411128
C:\learn\rd\jig\B0-B p03 jig 4 test 30 lần 2.txt,legacy-root,P03,JIG4,1,1,PRECONDITION,0.25147539191643,0.133935119010989,0.928041466630077,0.144320188080967,0.270974305522783
C:\learn\rd\jig\B0-B p03 jig 4 test 30 lần 2.txt,legacy-root,P03,JIG4,2,2,OFFICIAL,0.218565582535179,0.123813041056431,0.918778972391832,0.134758244122753,0.237887009936887
C:\learn\rd\jig\B0-B p03 jig 4 test 30 lần 2.txt,legacy-root,P03,JIG4,3,3,OFFICIAL,0.237692708393213,0.119337658687861,0.915293035221607,0.130381914966683,0.259690284145627
C:\learn\rd\jig\B0-B p03 jig 4 test 30 lần 2.txt,legacy-root,P03,JIG4,4,4,OFFICIAL,0.229597086773633,0.117141165029436,0.912204241032945,0.12841550144164,0.251694824958987
C:\learn\rd\jig\B0-B p03 jig 4 test 30 lần 3.txt,legacy-root,P03,JIG4,1,1,PRECONDITION,0.222701318264773,0.0947637974868955,0.283105950988905,0.334729090490257,0.786635948438613
C:\learn\rd\jig\B0-B p03 jig 4 test 30.txt,legacy-root,P03,JIG4,1,1,PRECONDITION,0.25147539191643,0.133935119010989,0.928041466630077,0.144320188080967,0.270974305522783
C:\learn\rd\jig\B0-B p04 jig 1 test 23 lần 1.txt,legacy-root,P04,JIG1,24,23,PRECONDITION,0.379101305382744,0.418614466137122,0.86601897672676,0.483377936727592,0.437751730124449
C:\learn\rd\jig\B0-B p04 jig 1 test 23 lần 1.txt,legacy-root,P04,JIG1,25,24,OFFICIAL,0.300861907725901,0.251118183557336,0.849723464104712,0.295529303550444,0.354070377523228
C:\learn\rd\jig\B0-B p04 jig 1 test 23 lần 1.txt,legacy-root,P04,JIG1,26,25,OFFICIAL,0.309057713311586,0.255110219158228,0.845696195943921,0.30165704940116,0.36544768061376
C:\learn\rd\jig\B0-B p04 jig 1 test 23 lần 1.txt,legacy-root,P04,JIG1,27,26,OFFICIAL,0.310320258455083,0.26867554506213,0.851193955924459,0.315645503815084,0.364570561498
C:\learn\rd\jig\B0-B p04 jig 1 test 23 lần 1.txt,legacy-root,P04,JIG1,28,27,OFFICIAL,0.304415010397058,0.261382687789781,0.854505096560166,0.305887804346615,0.356247155953181
C:\learn\rd\jig\B0-B p04 jig 1 test 23 lần 1.txt,legacy-root,P04,JIG1,29,28,OFFICIAL,0.308996743985697,0.25929928166588,0.854260468928496,0.303536557171047,0.361712563351167
C:\learn\rd\jig\B0-B p04 jig 1 test 23 lần 1.txt,legacy-root,P04,JIG1,30,29,OFFICIAL,0.293394999659421,0.260855184689772,0.854302540139402,0.305342864422721,0.343432198634861
