File,JigId,McuUid,BuildDate,NOfficialSweeps,RawP2P_Deg,A36_Deg,H2_Deg,H2PhaseDeg
C:\learn\rd\jig\tools\dist\captured-logs\S4-P08-JIG7-openloop-v1-run09-2300mm-path-2.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,3.52798461914062,0.894098424074385,0.413562091309898,-70.427604305663
C:\learn\rd\jig\tools\dist\captured-logs\S4-P011-JIG7-openloop-v1-remountR2-path-2.txt,JIG7,,NaT,3,3.02358627319336,0.87867851568991,0.153388771975929,-15.8036706453674
C:\learn\rd\jig\tools\dist\captured-logs\S4-P013-JIG7-openloop-v1-run03.txt,JIG7,,NaT,10,2.72605133056641,0.859575198899969,0.246713400738548,141.299106471724
C:\learn\rd\jig\tools\dist\captured-logs\S4-P010-JIG8-openloop-v1-run01.txt,JIG8,003E00323235511835383831,12-Aug-2026 16:45:25,10,4.16315746307373,0.907781686581919,0.620421009489302,-155.518179160368
C:\learn\rd\jig\tools\dist\captured-logs\S4-P010-JIG8-openloop-v1-run02.txt,JIG8,003E00323235511835383831,12-Aug-2026 16:45:25,10,3.43484973907471,0.911093394874851,0.215495540502473,-117.304677101993
C:\learn\rd\jig\tools\dist\captured-logs\S4-P011-JIG8-openloop-v1-run01.txt,JIG8,003E00323235511835383831,12-Aug-2026 16:45:25,10,3.2065486907959,0.869131734005154,0.0996799564850809,-111.875328201168
C:\learn\rd\jig\tools\dist\captured-logs\S4-P012-JIG8-openloop-v1-run01.txt,JIG8,003E00323235511835383831,12-Aug-2026 16:45:25,2,4.10180568695068,0.868659494309093,0.416211338817847,-145.617988762516
C:\learn\rd\jig\tools\dist\captured-logs\S4-P013-JIG8-openloop-v1-run01.txt,JIG8,003E00323235511835383831,12-Aug-2026 16:45:25,10,3.01116371154785,0.857672648920175,0.17564090061616,145.344976520981
C:\learn\rd\jig\tools\dist\captured-logs\S4-P013-JIG8-openloop-v1-run02.txt,JIG8,003E00323235511835383831,12-Aug-2026 16:45:25,10,3.03662109375,0.858128716868145,0.181240727069834,141.389468186592
C:\learn\rd\jig\tools\dist\captured-logs\S4-P03-JIG8-remount01-openloop-v1-run02.txt,JIG8,003E00323235511835383831,12-Aug-2026 16:45:25,10,2.84968185424805,0.897591425122173,0.163248215554143,-168.321440233893
C:\learn\rd\jig\tools\dist\captured-logs\S4-P03-JIG8-remount02-openloop-v1-run01.txt,JIG8,003E00323235511835383831,12-Aug-2026 16:45:25,10,2.9212818145752,0.898708156065623,0.157404305947471,-169.252377650955
C:\learn\rd\jig\tools\dist\captured-logs\S4-P08-JIG8-openloop-v1-run01.txt,JIG8,003E00323235511835383831,12-Aug-2026 16:45:25,10,3.14602088928223,0.887838604526509,0.143599079157362,-130.701572763457
