point_index,sweep_angle_deg,a1_raw_mean_error_deg,a1_raw_pointwise_sd_deg,a1_centered_mean_error_deg,a1_centered_pointwise_sd_deg,a1_top_selection_rate,a1_bottom_selection_rate,b_raw_mean_error_deg,b_raw_pointwise_sd_deg,b_centered_mean_error_deg,b_centered_pointwise_sd_deg,b_top_selection_rate,b_bottom_selection_rate,a2_raw_mean_error_deg,a2_raw_pointwise_sd_deg,a2_centered_mean_error_deg,a2_centered_pointwise_sd_deg,a2_top_selection_rate,a2_bottom_selection_rate,a_average_raw_mean_error_deg,a_average_centered_mean_error_deg,b_minus_a_raw_error_deg,b_minus_a_centered_error_deg,b_aligned_source_index,b_aligned_source_angle_deg,b_aligned_centered_mean_error_deg,b_minus_a_aligned_centered_error_deg
20,20.0,-0.10567,0.012614784976368004,-0.06628152777777778,0.021493021302395967,0.0,0.0,-0.09089666666666667,0.010416320527582347,-0.07594261111111111,0.008460800592718932,0.0,0.0,-0.10567,0.012614784976368004,-0.06628152777777778,0.021493021302395967,0.0,0.0,-0.10567,-0.06628152777777778,0.014773333333333333,-0.009661083333333334,20,20.0,-0.07594261111111111,-0.009661083333333334
21,21.0,0.08144499999999999,0.0003606244584051368,0.12083347222222222,0.009238860784433095,0.0,0.0,0.08391,0.007541273102069702,0.09886405555555555,0.007917420104693032,0.0,0.0,0.08144499999999999,0.0003606244584051368,0.12083347222222222,0.009238860784433095,0.0,0.0,0.08144499999999999,0.12083347222222222,0.002465000000000009,-0.021969416666666672,21,21.0,0.09886405555555555,-0.021969416666666672
22,22.0,0.07974500000000001,0.0012091525958289986,0.11913347222222223,0.010087388921856956,0.0,0.0,0.07732666666666667,0.012719238708874573,0.09228072222222222,0.012683169885183268,0.0,0.0,0.07974500000000001,0.0012091525958289986,0.11913347222222223,0.010087388921856956,0.0,0.0,0.07974500000000001,0.11913347222222223,-0.0024183333333333418,-0.02685275000000001,22,22.0,0.09228072222222222,-0.02685275000000001
23,23.0,0.086995,0.025830610716744588,0.12638347222222224,0.034708847042772537,0.5,0.0,0.09246666666666666,0.011152763484147475,0.10742072222222222,0.009194007045822947,0.0,0.0,0.086995,0.025830610716744588,0.12638347222222224,0.034708847042772537,0.5,0.0,0.086995,0.12638347222222224,0.0054716666666666525,-0.018962750000000014,23,23.0,0.10742072222222222,-0.018962750000000014
24,24.0,0.085785,0.005508361825443199,0.12517347222222222,0.003369874500584749,0.0,0.0,0.06857333333333333,0.02455945099820705,0.08352738888888889,0.026149119392497457,0.0,0.0,0.085785,0.005508361825443199,0.12517347222222222,0.003369874500584749,0.0,0.0,0.085785,0.12517347222222222,-0.017211666666666667,-0.041646083333333334,24,24.0,0.08352738888888889,-0.041646083333333334
25,25.0,-0.080945,0.0019445436482630075,-0.04155652777777778,0.010822779974290965,0.0,0.0,-0.08079000000000001,0.01272614631379036,-0.06583594444444445,0.011230990210760468,0.0,0.0,-0.080945,0.0019445436482630075,-0.04155652777777778,0.010822779974290965,0.0,0.0,-0.080945,-0.04155652777777778,0.00015499999999998848,-0.024279416666666664,25,25.0,-0.06583594444444445,-0.024279416666666664
26,26.0,-0.062445,0.02263448806578139,-0.023056527777777783,0.013756251739753431,0.0,0.0,-0.07561333333333332,0.011220438197028374,-0.06065927777777778,0.010231914261150298,0.0,0.0,-0.062445,0.02263448806578139,-0.023056527777777783,0.013756251739753431,0.0,0.0,-0.062445,-0.023056527777777783,-0.013168333333333324,-0.03760274999999999,26,26.0,-0.06065927777777778,-0.03760274999999999
27,27.0,-0.068595,0.0022980970388562813,-0.029206527777777783,0.01117633336488424,0.0,0.0,-0.10062666666666666,0.01962333899552605,-0.08567261111111112,0.019302960524310426,0.0,0.0,-0.068595,0.0022980970388562813,-0.029206527777777783,0.01117633336488424,0.0,0.0,-0.068595,-0.029206527777777783,-0.03203166666666665,-0.05646608333333333,27,27.0,-0.08567261111111112,-0.05646608333333333
28,28.0,-0.179435,0.014021927470929228,-0.14004652777777776,0.022900163796957196,0.0,0.0,-0.20222666666666667,0.021659645272564674,-0.18727261111111113,0.02260207914484313,0.0,0.0,-0.179435,0.014021927470929228,-0.14004652777777776,0.022900163796957196,0.0,0.0,-0.179435,-0.14004652777777776,-0.022791666666666655,-0.04722608333333336,28,28.0,-0.18727261111111113,-0.04722608333333336
29,29.0,-0.285225,0.022351645353306786,-0.2458365277777778,0.013473409027278838,0.0,0.0,-0.07627,0.00404471259794809,-0.061315944444444444,0.0030861362940266617,0.0,0.0,-0.285225,0.022351645353306786,-0.2458365277777778,0.013473409027278838,0.0,0.0,-0.285225,-0.2458365277777778,0.208955,0.18452058333333338,29,29.0,-0.061315944444444444,0.18452058333333338
