MechanicalAngleDeg,MeasuredErrorDeg,H36FitDeg,ElectricalFamilyFitDeg,Extended12OrderFitDeg,ElectricalFamilyResidualDeg
116.0,-1.38797,-0.7952334747811151,-1.0692070195253354,-1.3968711699890417,-0.31876298047466456
117.0,-1.60889,-1.2003419349965747,-1.3425927081685867,-1.618176347029787,-0.26629729183141326
118.0,-1.44965,-1.298362182111747,-1.1521061363280642,-1.3856574784143958,-0.29754386367193586
119.0,-1.25745,-1.0518538133143038,-0.9487279472771689,-1.160879231902742,-0.30872205272283104
120.0,-0.83374,-0.5549746469735692,-0.5176483553675139,-0.7273599271237838,-0.3160916446324862
121.0,-0.33014,0.002484363670006706,-0.0221260195253338,-0.23559408153074643,-0.3080139804746662
122.0,-0.03339,0.40759282388545914,0.20094156960918502,-0.006484031748486545,-0.23433156960918503
123.0,0.22708,0.5056130710006357,0.44230764144971874,0.2601416311914234,-0.21522764144971873
124.0,0.29587,0.2591047022031906,0.5561471638339461,0.41545311817913033,-0.2602771638339461
125.0,-0.28824,-0.23777446413754497,-0.11073374425641255,-0.20749923786345478,-0.17750625574358744
126.0,-1.21582,-0.7952334747811091,-1.0692070195253276,-1.1358259219404314,-0.1466129804746723
127.0,-1.44626,-1.2003419349965778,-1.3425927081685893,-1.4015855313269867,-0.10366729183141077
128.0,-1.30417,-1.2983621821117461,-1.152106136328062,-1.2215152080221092,-0.15206386367193803
129.0,-1.0545,-1.0518538133143085,-0.9487279472771732,-1.0309987012872144,-0.10577205272282675
130.0,-0.56277,-0.554974646973563,-0.5176483553675078,-0.5974149274086941,-0.04512164463249224
131.0,-0.13583,0.0024843636700007665,-0.02212601952533781,-0.07467666605317923,-0.1137039804746622
132.0,0.09103,0.40759282388546203,0.2009415696091868,0.19490192230902997,-0.1099115696091868
133.0,0.37711,0.5056130710006348,0.442307641449718,0.4836946211158819,-0.06519764144971801
134.0,0.52783,0.25910470220318627,0.5561471638339415,0.6235358452060416,-0.02831716383394145
135.0,0.13892,-0.23777446413753836,-0.11073374425640234,-0.05386514051627916,0.24965374425640233
136.0,-0.93155,-0.7952334747811147,-1.0692070195253347,-1.0600454630856646,0.1376570195253347
137.0,-1.29147,-1.2003419349965747,-1.3425927081685851,-1.4052492385373305,0.05112270816858522
138.0,-1.25131,-1.2983621821117455,-1.1521061363280583,-1.291754689605837,-0.09920386367194167
139.0,-1.08508,-1.0518538133143043,-0.9487279472771681,-1.1560381739494736,-0.1363520527228319
140.0,-0.71414,-0.5549746469735697,-0.517648355367516,-0.7799012591722728,-0.19649164463248403
141.0,-0.23364,0.0024843636700064287,-0.02212601952533387,-0.33366418705788287,-0.21151398047466613
142.0,0.02081,0.4075928238854589,0.20094156960918322,-0.1644382030647378,-0.18013156960918322
143.0,0.23505,0.5056130710006357,0.4423076414497155,0.01439925348665723,-0.2072576414497155
144.0,0.23257,0.25910470220319093,0.5561471638339452,0.06429564047421912,-0.32357716383394525
145.0,-0.66757,-0.23777446413754452,-0.11073374425641011,-0.6513663438666218,-0.5568362557435899
146.0,-1.72162,-0.7952334747811203,-1.0692070195253425,-1.6261323846929723,-0.6524129804746575
147.0,-1.74854,-1.2003419349965716,-1.3425927081685844,-1.8753459804951347,-0.40594729183141554
148.0,-1.53226,-1.2983621821117464,-1.1521061363280614,-1.627247492914984,-0.3801538636719386
149.0,-1.26419,-1.0518538133142998,-0.9487279472771628,-1.35250565553247,-0.3154620527228371
150.0,-0.7688,-0.5549746469735635,-0.5176483553675065,-0.8593644317859499,-0.2511516446324935
151.0,-0.3407,0.002484363670000267,-0.022126019525338075,-0.32631443770956814,-0.3185739804746619
152.0,-0.09924,0.4075928238854618,0.2009415696091884,-0.09079337085842833,-0.3001815696091884
153.0,0.15265,0.5056130710006348,0.4423076414497168,0.15088598295252295,-0.2896576414497168
154.0,0.25638,0.2591047022031956,0.5561471638339489,0.27083986076733285,-0.2997671638339489
155.0,-0.28815,-0.23777446413753794,-0.11073374425640656,-0.37194687068642573,-0.17741625574359346
156.0,-1.26715,-0.7952334747811143,-1.0692070195253345,-1.288825310831944,-0.19794298047466552
