point_index,sweep_angle_deg,a1_raw_mean_error_deg,a1_raw_pointwise_sd_deg,a1_centered_mean_error_deg,a1_centered_pointwise_sd_deg,a1_top_selection_rate,a1_bottom_selection_rate,b_raw_mean_error_deg,b_raw_pointwise_sd_deg,b_centered_mean_error_deg,b_centered_pointwise_sd_deg,b_top_selection_rate,b_bottom_selection_rate,a2_raw_mean_error_deg,a2_raw_pointwise_sd_deg,a2_centered_mean_error_deg,a2_centered_pointwise_sd_deg,a2_top_selection_rate,a2_bottom_selection_rate,a_average_raw_mean_error_deg,a_average_centered_mean_error_deg,b_minus_a_raw_error_deg,b_minus_a_centered_error_deg,b_aligned_source_index,b_aligned_source_angle_deg,b_aligned_centered_mean_error_deg,b_minus_a_aligned_centered_error_deg
26,26.0,-0.07092666666666668,0.0072175919345259,-0.04351435185185185,0.009337608525751948,0.0,0.0,-0.08454999999999999,0.0138451507756326,-0.07489504166666666,0.010755310202252748,0.0,0.0,-0.07092666666666668,0.0072175919345259,-0.04351435185185185,0.009337608525751948,0.0,0.0,-0.07092666666666668,-0.04351435185185185,-0.013623333333333307,-0.03138068981481481,26,26.0,-0.07489504166666666,-0.03138068981481481
27,27.0,-0.09486333333333334,0.003626076851548148,-0.06745101851851852,0.003079417666602028,0.0,0.0,-0.09165999999999999,0.016998847019724598,-0.08200504166666667,0.013909006446344746,0.0,0.0,-0.09486333333333334,0.003626076851548148,-0.06745101851851852,0.003079417666602028,0.0,0.0,-0.09486333333333334,-0.06745101851851852,0.0032033333333333497,-0.014554023148148146,27,27.0,-0.08200504166666667,-0.014554023148148146
28,28.0,-0.11367333333333333,0.03285748367318066,-0.08626101851851851,0.030849331324444958,0.0,0.0,-0.183365,0.018632263684265515,-0.17371004166666665,0.015542423110885674,0.0,0.0,-0.11367333333333333,0.03285748367318066,-0.08626101851851851,0.030849331324444958,0.0,0.0,-0.11367333333333333,-0.08626101851851851,-0.06969166666666667,-0.08744902314814813,28,28.0,-0.17371004166666665,-0.08744902314814813
29,29.0,-0.23648666666666665,0.018648630870209557,-0.20907435185185186,0.020595720939936783,0.0,0.0,-0.09251999999999999,0.013350176028802013,-0.08286504166666667,0.01026033545542216,0.0,0.0,-0.23648666666666665,0.018648630870209557,-0.20907435185185186,0.020595720939936783,0.0,0.0,-0.23648666666666665,-0.20907435185185186,0.14396666666666666,0.1262093101851852,29,29.0,-0.08286504166666667,0.1262093101851852
30,30.0,-0.08918,0.01196174318400123,-0.06176768518518518,0.009599866333879005,0.0,0.0,-0.10506,0.005713422791987307,-0.09540504166666666,0.008803263365367159,0.0,0.0,-0.08918,0.01196174318400123,-0.06176768518518518,0.009599866333879005,0.0,0.0,-0.08918,-0.06176768518518518,-0.015880000000000005,-0.03363735648148148,30,30.0,-0.09540504166666666,-0.03363735648148148
31,31.0,0.07530666666666667,0.003424767632020215,0.1027189814814815,0.0053853430561151185,0.0,0.0,0.06974,0.026870057685088804,0.07939495833333333,0.023780217111708947,0.0,0.0,0.07530666666666667,0.003424767632020215,0.1027189814814815,0.0053853430561151185,0.0,0.0,0.07530666666666667,0.1027189814814815,-0.005566666666666678,-0.02332402314814816,31,31.0,0.07939495833333333,-0.02332402314814816
32,32.0,0.07955666666666666,0.011442710925883486,0.10696898148148148,0.013746173299780668,0.0,0.0,0.077945,0.0074034079990231575,0.08759995833333334,0.010493248572403009,0.0,0.0,0.07955666666666666,0.011442710925883486,0.10696898148148148,0.013746173299780668,0.0,0.0,0.07955666666666666,0.10696898148148148,-0.001611666666666664,-0.019369023148148146,32,32.0,0.08759995833333334,-0.019369023148148146
33,33.0,0.08354333333333334,0.003903413036476331,0.11095564814814814,0.004774204201536974,0.0,0.0,0.080335,0.009948992411294722,0.08998995833333334,0.013038832984674575,0.0,0.0,0.08354333333333334,0.003903413036476331,0.11095564814814814,0.004774204201536974,0.0,0.0,0.08354333333333334,0.11095564814814814,-0.003208333333333341,-0.020965689814814795,33,33.0,0.08998995833333334,-0.020965689814814795
34,34.0,0.08669,0.011165164575589555,0.11410231481481482,0.009387109335887123,0.0,0.0,0.086035,0.007219560235914648,0.09568995833333332,0.004129719662534797,0.0,0.0,0.08669,0.011165164575589555,0.11410231481481482,0.009387109335887123,0.0,0.0,0.08669,0.11410231481481482,-0.0006550000000000028,-0.0184123564814815,34,34.0,0.09568995833333332,-0.0184123564814815
35,35.0,-0.07794333333333332,0.01040627374872165,-0.05053101851851851,0.01259512092919064,0.0,0.0,-0.078325,0.03025709916697237,-0.06867004166666667,0.03334693974035222,0.0,0.0,-0.07794333333333332,0.01040627374872165,-0.05053101851851851,0.01259512092919064,0.0,0.0,-0.07794333333333332,-0.05053101851851851,-0.0003816666666666829,-0.018139023148148158,35,35.0,-0.06867004166666667,-0.018139023148148158
