"Batch","Product","RunOrder","TestID","SweepID","NL_RobustP2P","MeanDC","RMS_AC","A1","A2","A3","A6","A9","A12","A18","A27","A36","A45","A72","A108","Residual_RMS_H6","Residual_RMS_H36","Residual_RMS_Full","Residual_RMS_Extended","Fitted_P2P","Fitted_P2P_Extended","FitExplainedRatio","FitExplainedRatio_Extended","Motor_Error_P2P_Deg","Motor_System_INL_Deg","CrestFactor","P99_AbsDeviation","TrackingError_RMS_Deg","TrackingError_MaxAbs_Deg","ClosureErrorDeg","AbsClosureErrorDeg","ShadowP2P","BackoffFeedforwardTargetErrorRaw","ForwardFeedforwardTargetErrorRaw","BackoffTargetErrorRaw","ApproachTargetErrorRaw","ApproachReturnErrorRaw","BackoffObservedDeltaRaw","ApproachObservedDeltaRaw","AbsApproachReturnErrorRaw","AnalysisStartRaw","MaxAbsSettlePositionErrorDeg","MotorActiveDurationMs","TimeSincePreviousRunMs"
"P04","P04","8","32","31","3.132388","-0.305","0.7302","0.296","0.2538","0.0779","0.0537","0.1634","0.0247","0.2497","0.0509","0.8528","0.045","0.1708","0.1139","0.7292","0.4117","0.649","0.1443","1.5707","3.5181","0.21","0.961","3.5079","1.754","2.8422","1.5745","0.7856","1.7523","0.05605","0.05605","3.50893","-8","-10","-8","-10","-18","-190","172","18","61177","NaN","26822","120094"
"P04","P04","9","33","32","3.094328","-0.3162","0.7281","0.2887","0.2475","0.081","0.0517","0.1608","0.0276","0.2533","0.0497","0.852","0.0453","0.17","0.1141","0.7272","0.4089","0.6487","0.1473","1.5526","3.4891","0.2063","0.9591","3.4333","1.7167","2.7717","1.5507","0.7881","1.7358","0.05931","0.05931","3.44121","-13","-8","-13","-8","-21","-195","174","21","61184","NaN","26361","120097"
"P04","P04","10","34","33","3.09576","-0.2714","0.7297","0.2963","0.2505","0.0747","0.0526","0.1631","0.028","0.2492","0.0494","0.8544","0.0467","0.1698","0.1136","0.7288","0.4093","0.6494","0.1422","1.5514","3.4982","0.2082","0.962","3.4506","1.7253","2.7714","1.5832","0.7741","1.7523","0.04395","0.04395","3.45194","-6","-5","-6","-5","-11","-188","177","11","61186","NaN","26614","120094"
"P05","P05","1","36","35","3.124274","0.0333","0.7282","0.3097","0.1987","0.0601","0.0582","0.2966","0.0179","0.102","0.0641","0.8593","0.0801","0.173","0.1105","0.7271","0.4015","0.6736","0.1196","1.165","3.5305","0.1443","0.973","3.4869","1.7435","2.4968","1.5755","0.7253","1.8622","0.01699","0.01699","3.48756","12","-14","12","-14","-2","-170","168","2","61440","NaN","26413","120105"
"P05","P05","2","37","36","3.127968","0.091","0.7313","0.3184","0.2283","0.0594","0.0585","0.2945","0.0195","0.0981","0.0632","0.8564","0.0804","0.1719","0.1096","0.7302","0.4101","0.6705","0.1164","1.2226","3.5774","0.1594","0.9747","3.5061","1.7531","2.4776","1.6227","0.7335","1.9116","-0.03562","0.03562","3.51417","11","-9","11","-9","2","-171","173","2","61453","NaN","26089","120097"
"P05","P05","3","38","37","3.125074","0.0936","0.7278","0.3039","0.2247","0.0757","0.0631","0.2969","0.0199","0.0989","0.0637","0.8544","0.0811","0.1704","0.1082","0.7264","0.4058","0.6696","0.1166","1.1971","3.5548","0.1536","0.9743","3.4846","1.7423","2.4338","1.6367","0.7295","1.8677","0.00635","0.00635","3.49108","10","-7","10","-7","3","-172","175","3","61450","NaN","26183","120095"
"P05","P05","4","39","38","3.131856","0.1157","0.7307","0.3181","0.2286","0.0694","0.0581","0.2951","0.0245","0.0981","0.0638","0.8548","0.0781","0.1729","0.1097","0.7296","0.4107","0.6693","0.1145","1.2317","3.5817","0.161","0.9754","3.5248","1.7624","2.4865","1.647","0.7348","1.9336","-0.04626","0.04626","3.52867","3","-4","3","-4","-1","-179","178","1","61452","NaN","26127","120095"
"P05","P05","5","40","39","3.11082","0.0664","0.7257","0.3158","0.214","0.0681","0.0523","0.2959","0.0241","0.0986","0.0634","0.852","0.0824","0.171","0.1071","0.7247","0.4045","0.6671","0.1119","1.2061","3.5645","0.155","0.9762","3.4866","1.7433","2.4565","1.6273","0.7246","1.8512","-0.08283","0.08283","3.48687","4","-9","4","-9","-5","-178","173","5","61447","NaN","26249","120096"
"P05","P05","6","41","40","3.128492","0.0505","0.7279","0.32","0.2068","0.0676","0.0543","0.2982","0.0199","0.0988","0.0639","0.8547","0.0803","0.1702","0.1094","0.7269","0.4057","0.6697","0.1141","1.1976","3.5605","0.1536","0.9754","3.5006","1.7503","2.5198","1.6318","0.7264","1.8896","-0.01296","0.01296","3.5043","15","-13","15","-13","2","-167","169","2","61437","NaN","26072","120096"
"P05","P05","7","42","41","3.128894","0.0163","0.7287","0.3218","0.2099","0.0674","0.0554","0.3002","0.0233","0.0975","0.0645","0.8542","0.0811","0.1678","0.107","0.7276","0.4076","0.6696","0.1151","1.2107","3.5699","0.1557","0.9751","3.5032","1.7516","2.5235","1.6058","0.7253","1.8732","0.02275","0.02275","3.50215","11","-15","11","-15","-4","-171","167","4","61436","NaN","26095","120095"
