MetricX,MetricY,N,RCentered,PCentered,RDetrended,PDetrended,BatchValid,BatchSameDirection,BatchOppositeDirection,MedianBatchR,AbsRDetrended
Motor_System_INL_Deg,P99_AbsDeviation,80,0.33184183915772,0.0026377619975588,0.327444561120104,0.00302822670776487,8,7,1,0.293531330594894,0.327444561120104
A72,TrackingError_RMS_Deg,80,0.279693379233491,0.0119829720866669,0.325536101108939,0.00321321467710714,8,5,3,0.264775474715997,0.325536101108939
A108,TrackingError_RMS_Deg,80,0.313084880344372,0.00468828454015618,0.325138720393843,0.00325297971179309,8,7,1,0.183122572887764,0.325138720393843
RMS_AC,TrackingError_MaxAbs_Deg,80,0.244472004287259,0.0288530902166407,0.32331049461983,0.00344164752379574,8,7,1,0.343504865681749,0.32331049461983
Residual_RMS_H6,TrackingError_MaxAbs_Deg,80,0.24266403730453,0.0300961775731434,0.320991902810479,0.00369493427502869,8,7,1,0.337841953968715,0.320991902810479
NL_RobustP2P,Fitted_P2P,80,0.42788360873164,7.52500240643877e-05,0.319846802223427,0.0038260526800744,8,7,1,0.377755788425259,0.319846802223427
A2,ClosureErrorDeg,80,-0.301081475696719,0.0066506018835221,-0.316859204916087,0.00418786627251446,8,6,2,-0.272985825612233,0.316859204916087
Residual_RMS_Full,TrackingError_MaxAbs_Deg,80,0.189467301677683,0.0923248825528827,0.31571693370449,0.00433404864103118,8,7,1,0.367613900767704,0.31571693370449
CrestFactor,P99_AbsDeviation,80,0.322771587658451,0.00349909455204388,0.31553079019798,0.00435829544623795,8,5,3,0.35049071438328,0.31553079019798
Residual_RMS_Extended,FitExplainedRatio,80,-0.261563800759022,0.0190967620329215,-0.315356469523497,0.0043811114762041,8,5,3,-0.165497942279062,0.315356469523497
A6,FitExplainedRatio,80,-0.26432261458433,0.0178232888452572,-0.312318998981582,0.00479607753252839,8,5,3,-0.147988117305845,0.312318998981582
Residual_RMS_H6,BackoffObservedDeltaRaw,80,0.371259096136543,0.00069786611568922,0.311568909063984,0.00490377375184715,8,6,2,0.304996967322495,0.311568909063984
Residual_RMS_H6,BackoffFeedforwardTargetErrorRaw,80,0.371259096136543,0.000697866115689217,0.311568909063984,0.00490377375184715,8,6,2,0.304996967322495,0.311568909063984
Residual_RMS_H6,BackoffTargetErrorRaw,80,0.371259096136543,0.000697866115689217,0.311568909063984,0.00490377375184715,8,6,2,0.304996967322495,0.311568909063984
RMS_AC,BackoffObservedDeltaRaw,80,0.370438500055,0.000718712500127419,0.311230815651648,0.00495301379542665,8,6,2,0.309680233178287,0.311230815651648
RMS_AC,BackoffFeedforwardTargetErrorRaw,80,0.370438500055,0.000718712500127428,0.311230815651647,0.00495301379542668,8,6,2,0.309680233178288,0.311230815651647
RMS_AC,BackoffTargetErrorRaw,80,0.370438500055,0.000718712500127428,0.311230815651647,0.00495301379542668,8,6,2,0.309680233178288,0.311230815651647
NL_RobustP2P,TrackingError_RMS_Deg,80,0.234737259177134,0.0360918708887854,0.311100077219352,0.0049721718249731,8,7,1,0.330948993958565,0.311100077219352
P99_AbsDeviation,ShadowP2P,80,0.318285676971591,0.00401148126266732,0.309468975767179,0.00521677178280391,8,7,1,0.303048372674049,0.309468975767179
A1,A2,80,0.233450030558081,0.0371539650753209,0.30899821945222,0.00528932072786965,8,7,1,0.35091218315912,0.30899821945222
A36,FitExplainedRatio_Extended,80,0.0233475330897183,0.837128331434379,0.308222759686417,0.00541077754017167,8,7,1,0.339083835639611,0.308222759686417
A72,Motor_System_INL_Deg,80,0.10795354824889,0.340509729957333,0.306993518375148,0.00560837059059925,8,7,1,0.293763150256465,0.306993518375148
A12,Fitted_P2P_Extended,80,0.343099932284904,0.00183548271166652,0.306325148236517,0.00571846388036413,8,7,1,0.323990502158352,0.306325148236517
A72,Motor_Error_P2P_Deg,80,0.107110659657303,0.344315343483996,0.306305717531077,0.00572169287580286,8,7,1,0.293445501413977,0.306305717531077
A72,ShadowP2P,80,0.123108404001591,0.27662612756014,0.303906898850409,0.00613292990229806,8,8,0,0.276574275797779,0.303906898850409
A9,A108,80,0.175744468400411,0.118918249631288,0.297489992666241,0.0073639894306113,8,6,2,0.143457900327879,0.297489992666241
A2,A18,80,-0.269601778021345,0.0155888180820454,-0.297234593372098,0.0074171928119084,8,8,0,-0.266191972349953,0.297234593372098
RMS_AC,P99_AbsDeviation,80,0.26923167189287,0.0157371834271245,0.297211007154403,0.00742212317299429,8,8,0,0.257639452483197,0.297211007154403
