"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"259","ALIGN_RAMP","58858","18","98.876953125","-1","-1000","-1000000","51800","207135","207135","0","2902","1336","1452"
"260","ALIGN_RAMP","58859","19","104.3701171875","1","1000","2000000","52000","207136","207136","0","2902","1336","1362"
"261","ALIGN_RAMP","58859","19","104.3701171875","0","0","-1000000","52200","207137","207137","0","2902","1336","1272"
"262","ALIGN_RAMP","58859","19","104.3701171875","0","0","0","52400","207138","207138","0","2902","1336","1182"
"263","ALIGN_RAMP","58860","20","109.86328125","1","1000","1000000","52600","207139","207139","0","2902","1336","1092"
"264","ALIGN_RAMP","58861","21","115.3564453125","1","1000","0","52800","207140","207140","0","2902","1336","1002"
"265","ALIGN_RAMP","58861","21","115.3564453125","0","0","-1000000","53000","207141","207141","0","2902","1336","912"
"266","ALIGN_RAMP","58860","20","109.86328125","-1","-1000","-1000000","53200","207142","207142","0","2902","1336","822"
"267","ALIGN_RAMP","58861","21","115.3564453125","1","1000","2000000","53400","207143","207143","0","2902","1336","732"
"268","ALIGN_RAMP","58860","20","109.86328125","-1","-1000","-2000000","53600","207144","207144","0","2902","1336","642"
"269","ALIGN_RAMP","58862","22","120.849609375","2","2000","3000000","53800","207145","207145","0","2902","1336","552"
"270","ALIGN_RAMP","58863","23","126.3427734375","1","1000","-1000000","54000","207146","207146","0","2902","1336","462"
"271","ALIGN_RAMP","58862","22","120.849609375","-1","-1000","-2000000","54200","207147","207147","0","2902","1336","372"
"272","ALIGN_RAMP","58865","25","137.3291015625","3","3000","4000000","54400","207148","207148","0","2902","1336","282"
"273","ALIGN_RAMP","58862","22","120.849609375","-3","-3000","-6000000","54600","207149","207149","0","2902","1336","192"
"274","ALIGN_RAMP","58862","22","120.849609375","0","0","3000000","54800","207150","207150","0","2902","1336","102"
"275","ALIGN_RAMP","58865","25","137.3291015625","3","3000","3000000","55000","207151","207151","0","2902","1336","12"
"276","ALIGN_RAMP","58862","22","120.849609375","-3","-3000","-6000000","55200","207152","207152","0","2902","1336","2077"
"277","ALIGN_RAMP","58863","23","126.3427734375","1","1000","4000000","55400","207153","207153","0","2902","1336","1987"
"278","ALIGN_RAMP","58863","23","126.3427734375","0","0","-1000000","55600","207154","207154","0","2902","1336","1897"
"279","ALIGN_RAMP","58866","26","142.822265625","3","3000","3000000","55800","207155","207155","0","2902","1336","1807"
"280","ALIGN_RAMP","58867","27","148.3154296875","1","1000","-2000000","56000","207156","207156","0","2902","1336","1717"
"281","ALIGN_RAMP","58864","24","131.8359375","-3","-3000","-4000000","56200","207157","207157","0","2902","1336","1627"
"282","ALIGN_RAMP","58865","25","137.3291015625","1","1000","4000000","56400","207158","207158","0","2902","1336","1537"
"283","ALIGN_RAMP","58863","23","126.3427734375","-2","-2000","-3000000","56600","207159","207159","0","2902","1336","1447"
"284","ALIGN_RAMP","58867","27","148.3154296875","4","4000","6000000","56800","207160","207160","0","2902","1336","1357"
"285","ALIGN_RAMP","58863","23","126.3427734375","-4","-4000","-8000000","57000","207161","207161","0","2902","1336","1267"
"286","ALIGN_RAMP","58865","25","137.3291015625","2","2000","6000000","57200","207162","207162","0","2902","1336","1177"
"287","ALIGN_RAMP","58867","27","148.3154296875","2","2000","0","57400","207163","207163","0","2902","1336","1087"
"288","ALIGN_RAMP","58868","28","153.80859375","1","1000","-1000000","57600","207164","207164","0","2902","1336","997"
"289","ALIGN_RAMP","58869","29","159.3017578125","1","1000","0","57800","207165","207165","0","2902","1336","907"
"290","ALIGN_RAMP","58869","29","159.3017578125","0","0","-1000000","58000","207166","207166","0","2902","1336","817"
"291","ALIGN_RAMP","58873","33","181.2744140625","4","4000","4000000","58200","207167","207167","0","2902","1336","727"
"292","ALIGN_RAMP","58868","28","153.80859375","-5","-5000","-9000000","58400","207168","207168","0","2902","1336","637"
"293","ALIGN_RAMP","58870","30","164.794921875","2","2000","7000000","58600","207169","207169","0","2902","1336","547"
"294","ALIGN_RAMP","58867","27","148.3154296875","-3","-3000","-5000000","58800","207170","207170","0","2902","1336","457"
"295","ALIGN_RAMP","58868","28","153.80859375","1","1000","4000000","59000","207171","207171","0","2902","1336","367"
"296","ALIGN_RAMP","58868","28","153.80859375","0","0","-1000000","59200","207172","207172","0","2902","1336","277"
"297","ALIGN_RAMP","58868","28","153.80859375","0","0","0","59400","207173","207173","0","2902","1336","187"
"298","ALIGN_RAMP","58870","30","164.794921875","2","2000","2000000","59600","207174","207174","0","2902","1336","97"
"299","ALIGN_RAMP","58868","28","153.80859375","-2","-2000","-4000000","59800","207175","207175","0","2902","1336","7"
"300","ALIGN_RAMP","58869","29","159.3017578125","1","1000","3000000","60000","207176","207176","0","2902","1336","2072"
"301","ALIGN_RAMP","58869","29","159.3017578125","0","0","-1000000","60200","207177","207177","0","2902","1336","1982"
"302","ALIGN_RAMP","58868","28","153.80859375","-1","-1000","-1000000","60400","207178","207178","0","2902","1336","1892"
"303","ALIGN_RAMP","58868","28","153.80859375","0","0","1000000","60600","207179","207179","0","2902","1336","1802"
"304","ALIGN_RAMP","58873","33","181.2744140625","5","5000","5000000","60800","207180","207180","0","2902","1336","1712"
"305","ALIGN_RAMP","58869","29","159.3017578125","-4","-4000","-9000000","61000","207181","207181","0","2902","1336","1622"
"306","ALIGN_RAMP","58871","31","170.2880859375","2","2000","6000000","61200","207182","207182","0","2902","1336","1532"
"307","ALIGN_RAMP","58873","33","181.2744140625","2","2000","0","61400","207183","207183","0","2902","1336","1442"
"308","ALIGN_RAMP","58877","37","203.2470703125","4","4000","2000000","61600","207184","207184","0","2902","1336","1352"
"309","ALIGN_RAMP","58875","35","192.2607421875","-2","-2000","-6000000","61800","207185","207185","0","2902","1336","1262"
"310","ALIGN_RAMP","58872","32","175.78125","-3","-3000","-1000000","62000","207186","207186","0","2902","1336","1172"
"311","ALIGN_RAMP","58872","32","175.78125","0","0","3000000","62200","207187","207187","0","2902","1336","1082"
"312","ALIGN_RAMP","58875","35","192.2607421875","3","3000","3000000","62400","207188","207188","0","2902","1336","992"
"313","ALIGN_RAMP","58874","34","186.767578125","-1","-1000","-4000000","62600","207189","207189","0","2902","1336","902"
"314","ALIGN_RAMP","58875","35","192.2607421875","1","1000","2000000","62800","207190","207190","0","2902","1336","812"
"315","ALIGN_RAMP","58878","38","208.740234375","3","3000","2000000","63000","207191","207191","0","2902","1336","722"
"316","ALIGN_RAMP","58873","33","181.2744140625","-5","-5000","-8000000","63200","207192","207192","0","2902","1336","632"
"317","ALIGN_RAMP","58875","35","192.2607421875","2","2000","7000000","63400","207193","207193","0","2902","1336","542"
"318","ALIGN_RAMP","58880","40","219.7265625","5","5000","3000000","63600","207194","207194","0","2902","1336","452"
"319","ALIGN_RAMP","58878","38","208.740234375","-2","-2000","-7000000","63800","207195","207195","0","2902","1336","362"
"320","ALIGN_RAMP","58876","36","197.75390625","-2","-2000","0","64000","207196","207196","0","2902","1336","272"
"321","ALIGN_RAMP","58875","35","192.2607421875","-1","-1000","1000000","64200","207197","207197","0","2902","1336","182"
"322","ALIGN_RAMP","58878","38","208.740234375","3","3000","4000000","64400","207198","207198","0","2902","1336","92"
"323","ALIGN_RAMP","58877","37","203.2470703125","-1","-1000","-4000000","64600","207199","207199","0","2902","1336","2"
"324","ALIGN_RAMP","58876","36","197.75390625","-1","-1000","0","64800","207200","207200","0","2902","1336","2067"
"325","ALIGN_RAMP","58877","37","203.2470703125","1","1000","2000000","65000","207201","207201","0","2902","1336","1977"
"326","ALIGN_RAMP","58881","41","225.2197265625","4","4000","3000000","65200","207202","207202","0","2902","1336","1887"
"327","ALIGN_RAMP","58880","40","219.7265625","-1","-1000","-5000000","65400","207203","207203","0","2902","1336","1797"
"328","ALIGN_RAMP","58876","36","197.75390625","-4","-4000","-3000000","65600","207204","207204","0","2902","1336","1707"
"329","ALIGN_RAMP","58877","37","203.2470703125","1","1000","5000000","65800","207205","207205","0","2902","1336","1617"
"330","ALIGN_RAMP","58880","40","219.7265625","3","3000","2000000","66000","207206","207206","0","2902","1336","1527"
"331","ALIGN_RAMP","58877","37","203.2470703125","-3","-3000","-6000000","66200","207207","207207","0","2902","1336","1437"
"332","ALIGN_RAMP","58879","39","214.2333984375","2","2000","5000000","66400","207208","207208","0","2902","1336","1347"
"333","ALIGN_RAMP","58882","42","230.712890625","3","3000","1000000","66600","207209","207209","0","2902","1336","1257"
"334","ALIGN_RAMP","58882","42","230.712890625","0","0","-3000000","66800","207210","207210","0","2902","1336","1167"
"335","ALIGN_RAMP","58881","41","225.2197265625","-1","-1000","-1000000","67000","207211","207211","0","2902","1336","1077"
"336","ALIGN_RAMP","58880","40","219.7265625","-1","-1000","0","67200","207212","207212","0","2902","1336","987"
"337","ALIGN_RAMP","58883","43","236.2060546875","3","3000","4000000","67400","207213","207213","0","2902","1336","897"
"338","ALIGN_RAMP","58882","42","230.712890625","-1","-1000","-4000000","67600","207214","207214","0","2902","1336","807"
"339","ALIGN_RAMP","58880","40","219.7265625","-2","-2000","-1000000","67800","207215","207215","0","2902","1336","717"
"340","ALIGN_RAMP","58879","39","214.2333984375","-1","-1000","1000000","68000","207216","207216","0","2902","1336","627"
"341","ALIGN_RAMP","58879","39","214.2333984375","0","0","1000000","68200","207217","207217","0","2902","1336","537"
"342","ALIGN_RAMP","58877","37","203.2470703125","-2","-2000","-2000000","68400","207218","207218","0","2902","1336","447"
"343","ALIGN_RAMP","58882","42","230.712890625","5","5000","7000000","68600","207219","207219","0","2902","1336","357"
"344","ALIGN_RAMP","58884","44","241.69921875","2","2000","-3000000","68800","207220","207220","0","2902","1336","267"
"345","ALIGN_RAMP","58882","42","230.712890625","-2","-2000","-4000000","69000","207221","207221","0","2902","1336","177"
"346","ALIGN_RAMP","58884","44","241.69921875","2","2000","4000000","69200","207222","207222","0","2902","1336","87"
"347","ALIGN_RAMP","58883","43","236.2060546875","-1","-1000","-3000000","69400","207223","207223","0","2902","1336","2152"
"348","ALIGN_RAMP","58884","44","241.69921875","1","1000","2000000","69600","207224","207224","0","2902","1336","2062"
"349","ALIGN_RAMP","58885","45","247.1923828125","1","1000","0","69800","207225","207225","0","2902","1336","1972"
"350","ALIGN_RAMP","58883","43","236.2060546875","-2","-2000","-3000000","70000","207226","207226","0","2902","1336","1882"
"351","ALIGN_RAMP","58884","44","241.69921875","1","1000","3000000","70200","207227","207227","0","2902","1336","1792"
"352","ALIGN_RAMP","58883","43","236.2060546875","-1","-1000","-2000000","70400","207228","207228","0","2902","1336","1702"
"353","ALIGN_RAMP","58884","44","241.69921875","1","1000","2000000","70600","207229","207229","0","2902","1336","1612"
"354","ALIGN_RAMP","58882","42","230.712890625","-2","-2000","-3000000","70800","207230","207230","0","2902","1336","1522"
"355","ALIGN_RAMP","58885","45","247.1923828125","3","3000","5000000","71000","207231","207231","0","2902","1336","1432"
"356","ALIGN_RAMP","58887","47","258.1787109375","2","2000","-1000000","71200","207232","207232","0","2902","1336","1342"
"357","ALIGN_RAMP","58885","45","247.1923828125","-2","-2000","-4000000","71400","207233","207233","0","2902","1336","1252"
"358","ALIGN_RAMP","58884","44","241.69921875","-1","-1000","1000000","71600","207234","207234","0","2902","1336","1162"
"359","ALIGN_RAMP","58889","49","269.1650390625","5","5000","6000000","71800","207235","207235","0","2902","1336","1072"
"360","ALIGN_RAMP","58887","47","258.1787109375","-2","-2000","-7000000","72000","207236","207236","0","2902","1336","982"
"361","ALIGN_RAMP","58886","46","252.685546875","-1","-1000","1000000","72200","207237","207237","0","2902","1336","892"
"362","ALIGN_RAMP","58885","45","247.1923828125","-1","-1000","0","72400","207238","207238","0","2902","1336","802"
"363","ALIGN_RAMP","58886","46","252.685546875","1","1000","2000000","72600","207239","207239","0","2902","1336","712"
"364","ALIGN_RAMP","58889","49","269.1650390625","3","3000","2000000","72800","207240","207240","0","2902","1336","622"
"365","ALIGN_RAMP","58887","47","258.1787109375","-2","-2000","-5000000","73000","207241","207241","0","2902","1336","532"
"366","ALIGN_RAMP","58889","49","269.1650390625","2","2000","4000000","73200","207242","207242","0","2902","1336","442"
"367","ALIGN_RAMP","58887","47","258.1787109375","-2","-2000","-4000000","73400","207243","207243","0","2902","1336","352"
"368","ALIGN_RAMP","58890","50","274.658203125","3","3000","5000000","73600","207244","207244","0","2902","1336","262"
"369","ALIGN_RAMP","58889","49","269.1650390625","-1","-1000","-4000000","73800","207245","207245","0","2902","1336","172"
"370","ALIGN_RAMP","58889","49","269.1650390625","0","0","1000000","74000","207246","207246","0","2902","1336","82"
"371","ALIGN_RAMP","58888","48","263.671875","-1","-1000","-1000000","74200","207247","207247","0","2902","1336","2147"
"372","ALIGN_RAMP","58889","49","269.1650390625","1","1000","2000000","74400","207248","207248","0","2902","1336","2057"
"373","ALIGN_RAMP","58890","50","274.658203125","1","1000","0","74600","207249","207249","0","2902","1336","1967"
"374","ALIGN_RAMP","58891","51","280.1513671875","1","1000","0","74800","207250","207250","0","2902","1336","1877"
"375","ALIGN_RAMP","58890","50","274.658203125","-1","-1000","-2000000","75000","207251","207251","0","2902","1336","1787"
"376","ALIGN_RAMP","58890","50","274.658203125","0","0","1000000","75200","207252","207252","0","2902","1336","1697"
"377","ALIGN_RAMP","58893","53","291.1376953125","3","3000","3000000","75400","207253","207253","0","2902","1336","1607"
"378","ALIGN_RAMP","58893","53","291.1376953125","0","0","-3000000","75600","207254","207254","0","2902","1336","1517"
"379","ALIGN_RAMP","58891","51","280.1513671875","-2","-2000","-2000000","75800","207255","207255","0","2902","1336","1427"
"380","ALIGN_RAMP","58892","52","285.64453125","1","1000","3000000","76000","207256","207256","0","2902","1336","1337"
"381","ALIGN_RAMP","58896","56","307.6171875","4","4000","3000000","76200","207257","207257","0","2902","1336","1247"
"382","ALIGN_RAMP","58894","54","296.630859375","-2","-2000","-6000000","76400","207258","207258","0","2902","1336","1157"
"383","ALIGN_RAMP","58892","52","285.64453125","-2","-2000","0","76600","207259","207259","0","2902","1336","1067"
