Group,Order,PeriodMechanicalDeg,AmplitudeMeanDeg,AmplitudeSDDeg,EnergyRatioMean,PhaseCircularMeanDeg,PhaseCoherence
ALL,136,2.6470588235294117,0.0028611104347324346,0.0013585266805367232,9.532450338175238e-06,-163.82580583361187,0.6618050553945797
ALL,137,2.627737226277372,0.00244793777505499,0.0013867682850060873,7.602029815938836e-06,-137.7078655290012,0.4447704955536462
ALL,138,2.608695652173913,0.003457535716486118,0.0018493325675914805,1.452796057047547e-05,-115.51925756100003,0.18687362946274438
ALL,139,2.5899280575539567,0.002490426999726996,0.0013859988872313442,7.635773868124261e-06,-150.82912030536104,0.36699624460062835
ALL,140,2.5714285714285716,0.0023038245977777894,0.0013652557423982563,6.716193356401428e-06,-170.8078312487162,0.5280080327934337
ALL,141,2.5531914893617023,0.002230401176009981,0.001326830856606165,6.283325338298073e-06,127.83805250964174,0.1809633806636011
ALL,142,2.535211267605634,0.002219700199274818,0.0014720749235068678,6.674107942586717e-06,-174.1438609347187,0.2619738198108417
ALL,143,2.5174825174825175,0.0026979456306366915,0.0018498381819592763,1.044944322884508e-05,145.27835352821802,0.5073446180196985
ALL,144,2.5,0.01650444861386921,0.0061540459889511115,0.0003006123840510992,-53.4865454543555,0.8544754300773478
ALL,145,2.4827586206896552,0.0024479770356305576,0.0014543484584601278,7.829545880979539e-06,-160.5655304332279,0.5273129556987034
ALL,146,2.4657534246575343,0.003089785569419911,0.001813009815226689,1.2330389694045912e-05,178.57805772519882,0.5731144901564432
ALL,147,2.4489795918367347,0.002656234283936196,0.0014885993550899314,8.822502918952966e-06,-157.44257700706962,0.6267758291685305
ALL,148,2.4324324324324325,0.0029683948703546005,0.0014873761783961265,1.0410397241562698e-05,-155.67300846281742,0.6262657395393999
ALL,149,2.4161073825503356,0.002420755428083167,0.0013751970056548244,7.283381589814749e-06,-170.03956149005816,0.5375929107391124
ALL,150,2.4,0.002710092054857606,0.001264127295606593,8.47397127715899e-06,-152.5235743926575,0.49999955525884754
ALL,151,2.384105960264901,0.0029132923842094685,0.0017538581636209224,1.0825699245058769e-05,-132.9679664058991,0.676003187156703
ALL,152,2.3684210526315788,0.0024291980989938583,0.0018014215972631837,8.687075943506824e-06,-135.54677184630376,0.42348869100539777
ALL,153,2.3529411764705883,0.008211458395264448,0.005445318015876838,8.685690577087285e-05,-163.33380788064918,0.01631089626437909
ALL,154,2.3376623376623376,0.00242297986137104,0.0016543888767253914,8.264149921202044e-06,-112.98889189910889,0.5157275768876507
ALL,155,2.3225806451612905,0.00278476222078168,0.0016921283681320405,1.0037296488641971e-05,-138.66070847685032,0.3683157797337305
ALL,156,2.3076923076923075,0.003029142930086066,0.002150579763643948,1.372188594027227e-05,-119.74582781742774,0.28192725257931917
ALL,157,2.2929936305732483,0.002752144226581064,0.002154853535276788,1.1735915041796914e-05,-170.90405661247266,0.17341923644859691
ALL,158,2.278481012658228,0.002372121472230493,0.0017337826740511178,8.283445177829217e-06,-106.2780743914235,0.14513293105923789
ALL,159,2.2641509433962264,0.002476353833433735,0.0013597315877684824,7.5587582972163485e-06,-124.96814637191632,0.31596751638567694
ALL,160,2.25,0.002359799119871427,0.0014235660079204683,7.2038902239233264e-06,-148.416534788429,0.24184371730380969
ALL,161,2.2360248447204967,0.0026131040830624425,0.0013296953021269893,8.248979874848994e-06,-125.40191141259596,0.3325802866869119
ALL,162,2.2222222222222223,0.01560089279024043,0.009849424401731298,0.00031850735488222836,135.06609133340342,0.5513628824015431
ALL,163,2.208588957055215,0.002502939846428526,0.0012396419689633337,7.316280707986505e-06,-90.34051673287966,0.2832141772855815
ALL,164,2.1951219512195124,0.0024279516175555195,0.0016301646795821,7.9720897372698e-06,-116.92137484215317,0.1448277978447316
ALL,165,2.1818181818181817,0.0023562828089961525,0.0014368469292230038,7.385811768920317e-06,-126.0271220329669,0.5060456580231487
ALL,166,2.1686746987951806,0.002849322110885933,0.0016048236663659028,1.0107465087784432e-05,-173.2809284718093,0.31889498769523894
ALL,167,2.155688622754491,0.0025438209317229744,0.0017882225519136065,9.147220738770228e-06,-142.2825200398713,0.20689600893589066
ALL,168,2.142857142857143,0.0030166550780829195,0.0020024446216836216,1.3003014285222257e-05,-140.85104412040636,0.24761680609007827
ALL,169,2.1301775147928996,0.002534496841352706,0.001686232443004629,8.655825325509349e-06,-122.61927446327697,0.2102804461977013
ALL,170,2.1176470588235294,0.0023799767407510597,0.0012448881667142422,6.772483899693046e-06,-179.40364281522756,0.16194374968017658
ALL,171,2.1052631578947367,0.006665017690121826,0.003915902412572538,5.287995059757781e-05,153.00619458021276,0.2855359069453134
ALL,172,2.0930232558139537,0.0026831050862501744,0.001477817222592883,8.918283052089744e-06,145.34646940386526,0.13118567088782207
ALL,173,2.0809248554913293,0.002543226022468329,0.0017257393544937672,9.018725076003506e-06,175.52579022011946,0.21484124182267364
ALL,174,2.0689655172413794,0.0029989796347459742,0.0017393434558589716,1.1229754175649983e-05,121.42753408305128,0.23022573830847343
ALL,175,2.057142857142857,0.002502261972811158,0.0012408393050369504,7.325360559054338e-06,177.73015730900116,0.32108586892760643
ALL,176,2.0454545454545454,0.0024298216105030847,0.0014571589783192343,7.6271665594730865e-06,-178.3492658516319,0.32783888521487636
ALL,177,2.0338983050847457,0.002459609037059555,0.0015009816414683877,7.900978484170668e-06,168.77401876410178,0.288467687635124
ALL,178,2.0224719101123596,0.002903795738254418,0.0016251028967735643,1.0402374025315524e-05,144.911974429075,0.42249416445246274
ALL,179,2.011173184357542,0.0027960809863773325,0.0017252311353732129,1.0354348861094475e-05,-118.31851812333122,0.3431209255498335
P02_R1,1,360.0,0.2101831576032716,0.006393507296068172,0.03705174537592495,-46.50852715129587,0.9997875756156528
P02_R1,2,180.0,0.2527014876951618,0.002519315251781341,0.05352714252520816,-88.65150822346364,0.9998810125320859
P02_R1,3,120.0,0.0100997116094893,0.0029033463852504273,9.181055428624112e-05,-41.21080749960706,0.9281319594702575
P02_R1,4,90.0,0.03556682257144352,0.006490965339331044,0.0010921902790741605,55.46656682688329,0.9907029736923071
P02_R1,5,72.0,0.030115086156539923,0.0025686529802704107,0.0007651265155772819,-65.5646384735589,0.9960017654405017
P02_R1,6,60.0,0.015757367174783665,0.0030557578965287853,0.00021526148798123616,-124.43180199400187,0.9910952949391727
P02_R1,7,51.42857142857143,0.02122624945587672,0.0012790838440060923,0.00037876007631464407,-50.61079237563605,0.9947304731887552
P02_R1,8,45.0,0.014638813867751793,0.0012902585574459465,0.000180874067886912,-73.61058391667194,0.988959980301428
P02_R1,9,40.0,0.40753283486822756,0.0016104115123053951,0.13920566630036685,8.329174399199688,0.9999886623345974
P02_R1,10,36.0,0.029193386142739735,0.0014633006126178751,0.0007158281708185983,-63.85559354357987,0.9965331332268333
P02_R1,11,32.72727272727273,0.03605269302922247,0.0017316278848491834,0.0010919215711556734,-67.56926952314406,0.995467648693464
P02_R1,12,30.0,0.031249897800109883,0.0039681939957105705,0.0008302965263447438,-135.94595064419806,0.9986855525371808
P02_R1,13,27.692307692307693,0.029232860833653652,0.0012090912618358126,0.0007173824453676424,-10.141863185523293,0.9969714961283233
P02_R1,14,25.714285714285715,0.028140484542209,0.0013425621799824294,0.0006650033877431323,26.807926832288057,0.9978661941859875
P02_R1,15,24.0,0.023945642248126606,0.0013671043879439203,0.0004820187921326869,44.681587138179665,0.9960803385624457
P02_R1,16,22.5,0.028958054188372016,0.0018189130529184744,0.000705353061716728,46.52875213351816,0.9987893927021546
P02_R1,17,21.176470588235293,0.014716686549632702,0.0018251689503757612,0.00018395567928004464,76.36186792910017,0.9949345739706142
P02_R1,18,20.0,0.10036415094093902,0.0011285337909715597,0.008443935895244914,50.68745067612383,0.9998877608236046
P02_R1,19,18.94736842105263,0.010846183107271062,0.0009619259484998672,9.926657550116974e-05,41.04022812700891,0.9931609026352464
P02_R1,20,18.0,0.015635275417704275,0.0018235512937859997,0.00020742052043115603,56.760793824521095,0.9947672401906736
P02_R1,21,17.142857142857142,0.00843939863598288,0.0009673296365017446,6.0413392297586464e-05,55.38504573020475,0.9877184407271902
P02_R1,22,16.363636363636363,0.018696933107607946,0.0022255712684623855,0.0002967581183652929,112.25081150403959,0.9980255314557492
P02_R1,23,15.652173913043478,0.01273256962260046,0.0018901871206518845,0.0001386324872344629,131.8497187012075,0.9931215500813448
P02_R1,24,15.0,0.009996486804936472,0.0019520751730943695,8.660504474479634e-05,120.45346979513576,0.9866935522625672
P02_R1,25,14.4,0.00385584050252485,0.0012604428983370665,1.3658259768332736e-05,-4.266611558700589,0.7825520392116038
P02_R1,26,13.846153846153847,0.009996456297865212,0.0014143188092908356,8.524072317971241e-05,107.6354878498685,0.9903205489791483
P02_R1,27,13.333333333333334,0.10724814799781726,0.000992515668736415,0.00964157202370766,166.5398078796339,0.999867861567881
P02_R1,28,12.857142857142858,0.010063731239734072,0.0015335585346176754,8.665938468637677e-05,12.238686975538997,0.9925184907418315
P02_R1,29,12.413793103448276,0.0112534060462092,0.0015166877143469554,0.00010789281655452425,104.92488819484808,0.9914509825549171
P02_R1,30,12.0,0.007185712889256332,0.0017706272502915523,4.5604898295063164e-05,115.97165011427387,0.9936365154389194
P02_R1,31,11.612903225806452,0.00952150225135212,0.002184233983750404,7.959940573705284e-05,82.79939842170903,0.9952056576726296
P02_R1,32,11.25,0.0054069183223707466,0.002206738760325956,2.8171303108445575e-05,86.40524440822503,0.9300680958807523
P02_R1,33,10.909090909090908,0.005746226348116285,0.0017003485292823506,2.984690727006621e-05,104.64081014364177,0.9911949411012312
P02_R1,34,10.588235294117647,0.013194700526167672,0.0010866924969052537,0.00014681044738075425,98.87485222538004,0.9854345676678419
P02_R1,35,10.285714285714286,0.006614417451510393,0.0017579421409171312,3.901327596495995e-05,64.15732072154785,0.9743205132381009
P02_R1,36,10.0,0.9009667667985546,0.0014133355710120397,0.6803664682163453,96.1007669537474,0.9999920175469601
P02_R1,37,9.72972972972973,0.005338264758503521,0.0014856115990567473,2.5537036803051637e-05,105.53334482913026,0.9454452309908639
P02_R1,38,9.473684210526315,0.00700176653606846,0.0023831726941819383,4.5393869535417306e-05,137.9037789743691,0.973892411811365
P02_R1,39,9.23076923076923,0.005069940541337002,0.0017749139235556748,2.392527458257524e-05,68.1939267777599,0.9594842068358743
